Name,Class,rt.sd,rt,RI,S48,E0,E0,Pool,S0,S0,S0,E48,Pool,Pool,Blank,Pool,E0,S48,S0,S48,Pool,E0,S48,Blank,Pool,Blank,Pool,E48,E48,Pool,E48,E48,E0,S0,Blank,Pool
Sucrose,Unknown,"0,0019","13,815",NA,4756483,3975803,4086968,4373701,4794177,4576974,4792143,3373369,4578183,4709700,0,4458365,3168964,4816140,5008059,4713582,4641523,4265446,5324759,23683,4672387,0,4715663,3649229,3850094,4922712,3868341,3526520,3459711,5637250,70638,4915619
Glucose,Unknown,"0,003","9,716",NA,1539314,194187,418406,998995,1829382,2008805,855299,1259455,1048030,958275,0,951006,528500,614298,1289498,2452829,974713,1125923,598886,0,1175753,0,1076192,409664,1518938,1018945,807268,1023439,301315,2017874,0,1193267
,Unknown,"0,0033","11,141",NA,506990,90065,88980,51829,128368,129941,142840,74119,20167,57646,0,0,0,24706,42752,25530,37785,0,100620,0,83025,0,0,0,37346,0,0,84978,0,203930,0,0
Fructose,Unknown,"0,0031","9,62",NA,278092,43441,70637,191757,302482,0,166270,279845,212974,183293,0,183792,83572,150295,236848,435294,189908,194960,130886,0,239979,0,216798,97952,329663,219471,197508,251099,67456,385228,0,245255
Glucose,Unknown,"0,0043","9,85",NA,304026,0,89268,181145,348459,341136,187922,255394,204351,184346,0,175823,108823,126298,235305,445297,166741,223511,116477,0,242983,0,203171,92284,351770,173949,193829,227474,69134,390584,0,256265
Chlorogenic acid,Unknown,"0,0023","16,826",NA,169665,223120,359700,194108,109650,137108,134001,257555,210257,193574,0,150648,197176,133116,97701,93550,179228,301231,97493,0,207864,0,174057,167579,378018,204453,268624,194494,166939,145573,0,226746
L-Alanine TMS,Unknown,"0,0026","3,269",NA,159299,104198,140667,168025,165314,168935,189367,48195,209283,164930,0,157290,118313,335337,252804,248450,173894,161434,370033,0,157361,0,208626,49516,62931,185507,37761,24858,99257,231921,0,191117
L-Asparagine 3TMS,Unknown,"0,0032","9,057",NA,157026,176699,362939,363969,371450,105952,272243,207883,470725,321601,0,440568,97968,283682,453660,347236,354781,384563,370190,0,399523,0,439162,358841,503093,345596,442746,151707,337331,919499,0,341685
Malic acid 3TMS,Unknown,"0,0023","7,268",NA,137133,111260,110984,112836,80992,46834,0,87223,143506,107265,0,118010,122101,0,83485,88431,115093,124522,102450,0,131683,0,138482,69804,116573,122840,102282,88428,84477,94900,0,142703
Myo-inositol,Unknown,"0,0051","10,75",NA,124060,61924,83675,88487,65301,74238,73715,130207,92982,86262,0,79458,0,100478,70411,96430,89453,77639,105261,0,115069,0,95894,0,224389,102914,88070,143058,53575,126802,0,110473
,Unknown,"0,0019","4,807",NA,107675,59175,57855,0,0,0,0,0,0,68082,0,0,0,0,0,0,37744,0,0,0,215981,0,0,0,0,36498,0,0,0,0,0,200189
,Unknown,"0,0067","6,023",NA,88456,88994,91091,81908,85927,74325,85817,88289,87528,78780,0,80217,0,80062,79689,88002,81406,87991,88353,0,101209,0,99922,80491,94131,84274,89388,87081,91551,113421,0,117186
GABA 3TMS,Unknown,"0,004","7,449",NA,20300,61795,62428,60510,44395,38125,44055,56430,75388,53046,0,78429,0,68978,66019,78087,70378,73628,54304,0,65289,0,84538,0,73973,74500,64925,54483,68256,61555,0,75120
Chlorogenic acid,Unknown,"0,0021","17,26",NA,52020,135252,250562,0,43212,48348,0,191248,79478,0,0,0,136143,0,0,0,0,241901,0,0,0,0,59670,95918,214001,0,197416,145406,102923,0,0,75746
,Unknown,"0,003","9,14",NA,49632,0,0,0,33399,43673,56450,0,0,0,0,0,0,0,0,0,0,0,46897,0,44372,0,0,0,0,0,0,0,0,0,0,39485
L-Glutamic acid 3TMS,Unknown,"0,0046","8,363",NA,49566,18240,32734,40043,0,0,0,43051,47989,34491,0,38339,44803,56057,0,56335,37194,51109,72118,0,38474,0,42738,46572,73708,39646,57362,46904,27676,28848,0,36946
,Unknown,"0,0028","4,122",NA,44382,29570,0,49014,38573,44067,45635,31736,53668,47404,4915,30774,32022,30340,28501,30561,34734,0,55020,9185,44993,0,33440,33229,28428,31424,30615,30112,22234,43676,0,44381
,Unknown,"0,0064","5,882",NA,32514,0,0,0,0,28247,0,33378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34474,0,0,45002
Valina 2TMS,Unknown,"0,0075","4,406",NA,31514,22032,26690,26525,0,39995,33348,23592,31781,0,0,25727,0,42345,31458,33496,25812,34785,46183,0,27743,0,30918,15161,28057,28193,23585,18083,0,59552,0,31493
,Unknown,"0,003","12,978",NA,30923,19500,0,31987,24076,25599,41967,24105,32436,0,0,0,21229,37855,26589,37324,33483,30606,49042,0,38418,0,0,0,28756,34262,33435,26037,0,59367,0,32865
,Unknown,"0,0042","5,995",NA,28028,33346,28448,23316,27930,28999,31153,28537,21947,23457,0,20303,0,22415,23491,0,24558,26384,30194,0,33040,0,24426,24856,27722,30465,0,0,28274,39078,0,40985
FAME C09,Unknown,"0,0025","5,285",NA,23528,0,24388,21858,0,21562,0,24129,26421,20767,22173,21922,22649,0,23126,23056,22291,24352,25041,28117,22586,28986,25271,23290,0,0,24095,23152,23770,0,31966,28915
FAME C10,Unknown,"0,0038","6,269",NA,22300,22125,21423,20345,21269,19806,22261,21175,23488,20122,20002,20525,20390,20787,0,21721,21242,22428,22864,0,0,24123,24648,21353,23704,22522,22046,20685,0,0,26511,25557
Ethanolamine 3TMS,Unknown,"0,0015","5,899",NA,20735,19614,19802,20286,22234,20292,22127,24097,25391,18940,0,21678,0,23050,0,25289,22259,25934,25195,0,25790,0,26114,0,29018,0,0,0,27802,0,0,30617
,Unknown,"0,0028","5,501",NA,19262,0,0,0,9192,7552,9542,0,0,0,0,0,0,0,0,0,0,0,9246,0,0,0,0,0,0,0,0,0,0,0,0,0
Palmitic acid TMS,Unknown,"0,0024","11,45",NA,13030,0,10829,11739,0,8533,9892,0,0,14449,0,11664,0,8068,10496,0,0,15117,8906,0,0,0,0,0,14637,0,0,0,0,14546,0,0
FAME C16,Unknown,"0,0067",11,NA,11493,12858,11849,0,0,9786,0,11274,11604,0,0,10777,11465,11026,10549,13060,11858,12089,0,0,14343,0,12830,11671,0,11914,12320,11906,11999,0,0,13260
Quinic acid nTMS ,Unknown,"0,0035","9,509",NA,10803,0,0,0,8768,12914,0,0,9040,0,0,7711,0,0,7998,0,0,0,0,0,0,0,7988,0,0,0,0,0,5016,0,0,0
Leucine 2TMS,Unknown,"0,0042","4,977",NA,8078,0,7783,6510,0,0,9815,0,9011,6055,0,6728,0,0,8541,0,7331,0,0,0,8186,0,9141,0,0,0,0,0,4416,0,0,0
Isoleucine 2TMS,Unknown,"0,004","5,213",NA,7963,0,0,5831,0,10308,8614,0,8569,5844,0,0,0,0,0,7365,6732,0,10517,0,7352,0,7612,0,4934,8209,0,3249,0,0,0,10322
Serine 3TMS,Unknown,"0,001","5,87",NA,6887,0,0,0,0,5946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5730,0,8846,7929,6619,7771,0,0,10334
Aspartic acid 3TMS,Unknown,"0,0054","7,54",NA,6970,0,0,0,0,0,0,0,0,0,0,0,0,7089,0,0,0,0,0,0,0,0,7522,0,0,8338,0,0,0,13760,0,9369
Stearic acid TMS,Unknown,"0,0039","12,666",NA,6273,0,5671,0,0,4448,4959,5597,6013,6882,0,7071,0,0,5940,0,8393,8232,0,0,12427,0,0,0,7830,9517,7096,8127,0,7145,0,11733
,Unknown,"0,0042","3,72",NA,7600,0,0,0,8703,11808,16261,0,0,0,0,0,0,0,0,0,0,0,9586,0,8774,0,0,0,0,0,0,0,0,0,0,0
,Unknown,"0,0038","9,745",NA,5448,0,0,4398,0,0,0,8976,3633,4307,0,0,0,0,0,0,4543,0,0,0,6790,0,3434,0,16168,3935,0,0,0,0,0,6136
FAME C18,Unknown,"0,0034","12,276",NA,5133,4921,5054,4777,4587,0,5044,4580,0,0,0,0,4971,0,0,0,0,5222,0,0,0,0,5721,0,0,0,5402,0,5712,5909,0,6297
,Unknown,"0,0036","4,696",NA,3149,4587,3058,2680,3530,3019,3498,3429,0,2688,0,0,0,3417,0,0,2981,3308,3954,0,0,0,3649,3804,3736,3669,3855,3527,0,4931,0,0
L-Threonine 3TMS,Unknown,"0,0022","6,038",NA,3901,0,0,4236,5086,0,0,0,5121,0,0,4025,0,5579,5197,4707,4449,6087,0,0,5242,0,4684,0,5152,5054,0,0,0,11082,0,5863
,Unknown,"0,005","17,136",NA,3655,0,0,0,0,2526,4949,0,0,3446,0,0,0,5244,2795,2924,0,0,5386,0,3855,0,3375,0,0,4041,0,0,0,0,0,0
FAME C24,Unknown,"0,001","15,574",NA,3504,3332,3384,3304,0,0,0,3258,0,0,0,0,0,2927,0,0,0,0,0,0,0,0,3403,3648,3777,3640,3476,3548,3408,0,0,0
,Unknown,"0,0033","15,364",NA,1946,0,0,0,0,0,1638,0,0,1007,0,763,0,0,1208,0,0,0,2314,0,1116,0,0,0,0,0,0,0,0,0,0,0
1-Piperidinecarboxaldehyde,Unknown,"0,0027","5,723",NA,817,0,0,708,0,0,0,0,0,0,0,0,0,0,0,0,483,0,0,0,0,0,0,0,0,0,643,0,574,0,0,0
,Unknown,"0,0054","12,072",NA,780,0,0,0,0,0,0,0,971,920,0,0,0,0,0,1075,0,0,0,0,0,0,886,0,0,0,0,0,0,0,0,1293
Aconitic acid 3TMS,Unknown,"0,0041","9,567",NA,0,912954,884713,0,0,0,0,1377635,1026396,0,0,925824,990233,1149959,0,0,0,1273643,893001,0,0,0,1063837,818635,2104316,0,1461050,1882728,519279,0,0,0
Phosphate 3TMS,Unknown,"0,0029","5,447",NA,0,157864,192896,32097,21905,0,0,159816,37542,31422,0,36578,92113,0,0,0,43223,161409,0,0,0,0,38935,78322,194464,41707,151065,117843,139155,0,0,0
,Unknown,"0,0036","9,527",NA,0,61114,102502,0,0,0,0,384594,285927,0,0,249703,110924,203178,0,0,0,254785,186764,0,0,0,303969,129026,433019,0,259590,330061,96116,0,0,0
Asparagine 4TMS MP,Unknown,"0,0048","7,678",NA,0,38430,0,0,26840,0,27460,24196,0,16038,0,0,0,0,0,0,15320,0,23434,0,0,0,0,0,0,0,0,0,0,53166,0,27400
Aspartic acid 3TMS,Unknown,"0,0036","7,54",NA,0,41011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35392,46285,0,0,41499,0,0,0,0,0,0,0,34674,0,0,0
,Unknown,"0,0043","11,031",NA,0,36679,39559,0,38671,0,53614,36510,44375,47276,0,0,24982,45033,49395,50616,0,39894,70450,0,0,0,48830,34378,0,0,0,0,0,110691,0,66331
,Unknown,"0,0033","17,488",NA,0,25766,41516,22399,0,0,0,28364,23740,20710,0,0,27448,0,0,0,20393,0,0,0,0,0,17379,32123,38251,21858,0,0,0,0,0,0
FAME C08,Unknown,"0,0043","4,231",NA,0,24507,24231,24829,25680,23426,0,0,26460,23047,0,22889,0,25074,0,24464,22873,23488,0,0,25442,33314,27280,24411,25048,26275,23587,22676,25443,0,35176,30744
FAME C12,Unknown,"0,004","8,033",NA,0,17622,0,16686,0,0,0,17360,18398,0,0,16721,16960,16410,15877,19138,17604,0,0,19667,20557,16997,0,0,19132,0,18871,16122,19321,0,23765,0
,Unknown,"0,0051","3,17",NA,0,13927,0,0,4763,0,4545,0,0,0,0,0,0,0,0,0,0,0,4422,0,0,0,0,0,0,0,0,3298,0,4602,0,0
Palmitic acid TMS,Unknown,"0,0028","11,455",NA,0,11642,0,0,0,0,0,0,0,0,0,0,10536,0,0,0,16568,0,0,8984,29444,4323,0,12683,0,18397,0,0,15191,0,10100,21612
,Unknown,"0,0028","4,569",NA,0,10312,11035,0,11104,10373,0,11018,0,8990,0,9348,0,9900,10302,10178,10254,10072,11095,0,0,0,11561,10333,0,11461,0,10607,0,0,0,14119
Leucine  2TMS,Unknown,"0,0048","4,98",NA,0,7794,0,0,16784,15600,0,0,0,0,0,0,0,17932,0,0,0,16160,17753,0,0,0,0,0,0,0,0,0,0,0,0,0
Asparagine dehydrated  2TMS,Unknown,"0,0019","8,147",NA,0,7406,11201,16174,0,0,0,7190,15626,16207,0,5891,0,10131,10686,12875,13766,8347,18173,0,20376,0,9409,5435,0,15897,10017,0,0,0,0,20098
,Unknown,"0,0061","4,425",NA,0,5122,6544,0,6514,4922,5897,6335,2443,0,0,2084,0,2526,4046,0,0,3004,4972,0,0,0,0,0,0,0,3947,5565,0,0,0,4458
b-Alanine 3TMS,Unknown,"0,004","6,483",NA,0,1731,0,2138,2062,1921,1925,3599,2395,2122,0,0,0,2659,1817,3089,0,0,3463,0,2706,0,2195,0,0,0,0,0,2369,3500,0,0
,Unknown,"0,0025","12,726",NA,0,868,0,1479,0,1099,1439,0,1571,0,0,0,0,0,1450,1572,0,1180,0,0,1831,0,1525,0,0,0,0,1404,0,0,0,0
,Unknown,"0,0068","7,699",NA,0,864,0,0,847,820,0,0,0,0,0,0,0,0,0,667,0,0,1146,0,984,0,0,0,0,0,0,0,0,0,0,0
Asparagine 4TMS BP,Unknown,"0,005","7,89",NA,0,0,43498,46370,56702,26397,61873,0,71084,40091,0,73286,0,88430,119670,60062,85147,126197,72113,0,34617,0,58786,57372,68818,79036,76425,35651,51422,330240,0,56449
Serine 3TMS,Unknown,"0,0077","5,88",NA,0,0,29866,32011,39717,0,45956,0,0,31092,0,33565,0,35143,0,38189,34454,38488,62200,0,38660,0,0,0,39381,0,0,0,0,0,0,0
,Unknown,"0,0051","15,709",NA,0,0,21457,13579,0,0,0,15525,14284,14035,0,0,14876,0,0,0,0,25279,0,0,0,0,0,18827,0,0,16857,16336,0,0,0,0
Quinic acid nTMS ,Unknown,"0,0038","9,504",NA,0,0,7787,7709,0,0,0,20185,0,7259,0,0,0,0,0,0,7927,16173,0,0,9764,0,0,10676,23193,8331,15911,21407,0,0,0,10014
FAME C20,Unknown,"0,0029","13,46",NA,0,0,4013,0,3572,0,3547,0,4284,0,0,3785,0,0,0,4282,0,4741,4362,0,4940,0,4609,0,0,0,0,0,4556,0,0,5043
,Unknown,"0,0023","5,498",NA,0,0,4385,0,0,0,0,3746,0,0,0,0,0,0,0,0,0,3004,0,0,0,0,0,0,0,0,2585,3799,2644,0,0,0
,Unknown,"0,0041","16,093",NA,0,0,3586,0,1508,1421,0,2927,3868,0,0,0,0,0,0,1793,3173,4711,0,0,0,0,0,0,0,0,0,3025,0,3845,0,0
,Unknown,"0,0043","4,618",NA,0,0,3266,0,3939,3485,0,0,3728,2998,0,2944,0,3877,4230,0,2795,4610,3802,0,0,0,0,3362,0,0,2821,0,0,0,0,4184
,Unknown,"0,0038","10,675",NA,0,0,1609,0,0,0,2219,0,0,0,0,0,0,0,0,1409,0,1725,1480,0,0,0,0,0,0,0,0,0,0,0,0,0
,Unknown,"0,0031","5,683",NA,0,0,875,0,0,964,1094,1208,1330,1005,0,1099,0,1188,1158,1178,0,1292,0,0,1315,0,1437,0,0,0,0,0,0,1761,0,0
Fructose,Unknown,"0,0116","9,538",NA,0,0,0,775375,0,0,719308,0,0,760338,0,0,0,0,962757,1781731,779675,0,0,0,951472,0,0,0,0,852331,0,0,0,1505555,0,970271
Aconitic acid 3TMS,Unknown,"0,0024","9,567",NA,0,0,0,328966,0,0,181401,0,0,280492,0,0,0,0,360456,424280,317632,0,0,0,305552,0,0,0,0,333360,0,0,0,439593,0,286242
Chlorogenic acid nTMS ,Unknown,"0,004","17,263",NA,0,0,0,77442,0,0,0,0,0,70354,0,58396,0,35812,0,0,70301,0,0,0,73859,0,0,0,0,0,0,0,0,60815,0,0
,Unknown,"0,0052","3,721",NA,0,0,0,10499,0,0,0,14471,29422,0,0,0,0,22105,0,15526,27372,64750,0,0,0,0,35243,44470,36158,36631,34102,25226,37198,0,0,8042
Aspartic acid 3TMS,Unknown,"0,0012","7,535",NA,0,0,0,7124,0,0,3905,0,7542,0,0,7188,0,0,0,0,0,0,5512,0,0,0,0,0,0,0,0,0,0,0,0,0
,Unknown,"0,0041","5,498",NA,0,0,0,4636,0,0,0,0,3257,4888,0,0,0,0,4075,4639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxalic acid,Unknown,"0,0051","3,539",NA,0,0,0,4388,0,0,0,5242,3827,0,0,3020,0,4379,4798,0,4203,0,0,0,0,0,3821,0,4491,5552,4439,0,0,0,0,0
,Unknown,"0,0048","6,843",NA,0,0,0,3554,0,1600,0,0,4053,0,0,1793,0,2429,2930,0,3238,0,0,0,3443,0,0,0,0,4088,0,0,0,0,0,0
Lysine 4TMS,Unknown,"0,0045","10,114",NA,0,0,0,2259,0,0,0,0,2621,0,0,2377,0,2815,0,0,0,0,0,0,2908,0,2314,0,0,0,0,0,0,0,0,2512
,Unknown,"0,0008","4,87",NA,0,0,0,501,0,0,0,0,0,0,0,553,0,0,0,0,0,1127,0,0,818,0,660,0,0,0,0,0,0,0,0,0
Raffinose,Unknown,"0,0039","16,946",NA,0,0,0,0,33780,0,19973,0,0,23812,0,18428,0,0,16865,0,28478,44906,0,0,27458,0,22071,0,0,26578,0,0,0,83362,0,0
Maleic acid 2TMS,Unknown,"0,0049","6,139",NA,0,0,0,0,26879,22349,28342,0,0,0,0,0,0,62149,0,37834,0,0,55036,0,0,0,0,0,0,0,0,0,0,0,0,0
Isoleucine 2TMS,Unknown,"0,003","5,213",NA,0,0,0,0,16586,0,0,0,0,0,0,0,8738,15125,0,0,0,17130,0,0,0,0,0,0,0,0,0,0,0,26842,0,0
Glycine,Unknown,"0,0051","5,314",NA,0,0,0,0,4866,5448,4353,2326,3717,2986,0,0,0,3864,4405,3254,3591,5122,4471,0,3945,0,0,0,0,3911,2734,1693,3034,8134,0,4663
1-Piperidinecarboxaldehyde,Unknown,"0,0032","5,722",NA,0,0,0,0,765,567,491,0,0,0,0,0,0,0,0,550,0,0,525,0,0,0,0,0,0,0,0,0,0,579,0,0
