"Name","Class","rt.sd","rt","S48","E0","E0.1","Pool","S0","S0.1","S0.2","E48","Pool.1","Pool.2","Blank","Pool.3","E0.2","S48.1","S0.3","S48.2","Pool.4","E0.3","S48.3","Blank.1","Pool.5","Blank.2","Pool.6","E48.1","E48.2","Pool.7","E48.3","E48.4","E0.4","S0.4","Blank.3","Pool.8"
"Sucrose","Unknown",0.0019,13.815,21.5634234184628,21.9185096954078,22.1152916156026,21.7082759457509,21.441686587061,21.3984426747885,21.9178457540425,21.4575599538502,21.7628085551268,21.7827271672856,NA,21.7857810730597,21.8230271232812,21.9882718681417,21.5287350734196,20.7834756651906,21.7740882184354,21.6857134476802,22.2460736648144,21.7581313863416,21.6567318924691,NA,21.7743474172091,21.9859680371262,21.4879978610348,21.7843382900856,21.699948420515,21.4948264229403,22.3732777032509,21.3519838731507,21.7581313858583,21.7025273907882
"Glucose","Unknown",0.003,9.716,19.9296831941483,17.687028052489,18.904024507412,19.6264650890149,20.1745798741988,20.4894770009712,19.6047243668536,19.829288887059,19.6113040714156,19.5923722863819,NA,19.6122552487261,19.4031164707083,19.1675587859783,19.7404906067709,20.1179418157555,19.5953521563004,19.7186683468887,19.2518420431545,NA,19.693827712359,NA,19.6352783144995,19.0509043987713,19.748359474556,19.575009242891,19.3147599775485,19.5748524863305,18.953785402763,19.952731583271,NA,19.6928547233105
"","Unknown",0.0033,11.141,18.5956332750827,16.377942476196,16.5149467782647,15.5684528617491,16.9549485506286,17.2375610161242,17.0563659002204,15.8883498923336,13.9820027749178,15.8090714376966,NA,NA,NA,14.5555363656055,15.2552283406213,14.3078108898768,15.0770664326094,NA,16.3980615117203,NA,16.037372732902,NA,NA,NA,14.5981049540056,NA,NA,16.1820532196069,NA,16.9047535298186,NA,NA
"Fructose","Unknown",0.0031,9.62,17.4062257086777,15.6646886069327,16.4319806225029,17.3534750364218,17.7511016448836,NA,17.4133883777304,17.4700891207505,17.321488313319,17.3747259253948,NA,17.3377936390542,16.8051747018717,17.3012604736755,17.5231317432013,17.9660218455115,17.3381121512443,17.1704207066504,17.1370263238482,NA,17.4734379573214,NA,17.3533882489242,17.0979862321593,17.2991303796784,17.4543645583576,17.1730913217375,17.4527954173451,16.6627729462833,17.6515561455092,NA,17.4868370910835
"Glucose","Unknown",0.0043,9.85,17.5124983209515,NA,16.7973377089966,17.265622994351,17.9052767283103,18.1539406769813,17.5930193201436,17.3292861226895,17.2648023448145,17.3805806447937,NA,17.2742067906116,17.188990588797,17.0570778027511,17.5018385821285,17.960922485449,17.1520524314276,17.3649594200854,17.0023536697692,NA,17.4852990538257,NA,17.2619865252734,17.0399424788686,17.3863321264316,17.1210079989028,17.1490936125078,17.2900255769879,16.7505922497581,17.6541200547762,NA,17.5462622389406
"Chlorogenic acid","Unknown",0.0023,16.826,16.6977914580559,18.0220951491423,18.7752856362123,17.3720686578357,16.2966097924417,16.9029758455746,17.1012375875828,17.3516568569071,17.3024495885925,17.4538673252517,NA,17.0509242293506,18.0424197866554,17.1246086014648,16.2479308480573,15.7551110997696,17.2541591219121,17.7983839680622,16.7056844674513,NA,17.2672547135247,NA,17.0362773473662,17.8673865490081,17.4976835646589,17.35151661577,17.6161437968608,17.087529462067,17.9602807938698,16.2507257281785,NA,17.3741673490735
"L-Alanine TMS","Unknown",0.0026,3.269,16.7014111818822,16.8361291927712,17.3178913142016,17.1784058701441,17.0590014280949,17.398963096494,17.5701139449194,14.9526117044275,17.290029767891,17.2252062024063,NA,17.1170575163052,17.1697031391364,18.4197584365,17.668097308579,17.3094624734383,17.2000395550394,16.9041882982903,18.5129999908832,NA,16.8858599685362,NA,17.3060465903693,15.9907540039578,14.9993061987322,17.1988474811604,14.7673041989046,14.172145013174,17.0315442885017,16.9806122960445,NA,17.1345836171166
"L-Asparagine 3TMS","Unknown",0.0032,9.057,16.5774927292172,17.8044403404787,18.8720678190448,18.2427703575929,17.8653830354287,16.36128411252,18.0819865643319,17.0416563537879,18.4793468631322,18.1472530103887,NA,18.5839514141132,17.1099205333503,18.1872960842647,18.3887619402555,17.4680458611936,18.2271236523044,18.145722984083,18.7176302958062,NA,18.1789531257723,NA,18.3784760645576,19.1581718889389,17.8120903641886,18.0990957210906,18.3662306110463,16.671842081007,19.2882653348095,18.8458306840098,NA,17.9335689994071
"Malic acid 3TMS","Unknown",0.0023,7.268,16.5931323935426,16.8239018719695,16.9000087185969,16.6209211036401,16.1802554421317,15.7378394796633,NA,15.9296798677178,16.7435641375309,16.6254823930053,NA,16.7082768528512,17.0243642990983,NA,16.1294130597671,15.9817937017104,16.6153144011268,16.5672763547261,16.5486833149753,NA,16.650489715852,NA,16.7173710125247,16.3889638571618,16.0529240407398,16.6092462606694,16.2449377282943,16.0895641735935,16.6788337833203,15.7654519926729,NA,16.7118040099573
"Myo-inositol","Unknown",0.0051,10.75,16.4841213942585,15.9340417329568,16.4752175619141,16.284080698934,15.9018140510737,16.4341686693138,16.1542800123469,16.5683897867135,16.1269732590915,16.3343531473652,NA,16.1517518742747,NA,16.608506490551,15.9064205264413,16.1520353571154,16.2735571173483,15.9045316408664,16.5485556848461,NA,16.4665074697579,NA,16.1964934631856,NA,17.0505425095866,16.373401566022,16.0578073927032,16.8295184182331,15.9885183809467,16.2049490999087,NA,16.3409887416248
"","Unknown",0.0019,4.807,16.3326663990054,15.8009279624976,15.9123491524586,NA,NA,NA,NA,NA,NA,16.0295279919501,NA,NA,NA,NA,NA,NA,15.0593655153479,NA,NA,NA,17.3987410853584,NA,NA,NA,NA,14.9026316885622,NA,NA,NA,NA,NA,17.1991209693742
"","Unknown",0.0067,6.023,16.0149509921124,16.4328452916091,16.5861502307708,16.183347564869,16.3128970710276,16.4407851236215,16.3616844345894,16.039690907367,16.0492260662744,16.2167998083887,NA,16.17665597917,NA,16.2718926957826,16.0985005964437,16.0389640975931,16.1490489992704,16.0947345165431,16.2734441196824,NA,16.2886324784663,NA,16.2646141012406,16.5496023694273,15.8275482493282,16.0945437259571,16.093717746875,16.1366520418631,16.7417104523535,16.0510440104163,NA,16.4253512355482
"GABA 3TMS","Unknown",0.004,7.449,14.0103017612913,15.8233393226879,15.9521811466892,15.8360542008648,15.4987291315185,15.4657964869181,15.3259928338781,15.5932844508275,15.9337778054934,15.7295657532514,NA,16.2283313538488,NA,16.0228879809873,15.9483666738703,15.9690382555468,16.0012590872121,15.8959482989371,15.4463092871488,NA,15.7238729373007,NA,16.1144040031559,NA,15.7058102620587,15.9686547052296,15.7350729880276,15.6150575937741,16.1708139090201,15.1856616092932,NA,15.7943607367387
"Chlorogenic acid","Unknown",0.0021,17.26,15.1696165196331,17.1232273008884,18.0862661206021,NA,15.2466869398642,15.7471719048641,NA,17.0223073328731,15.8899767241033,NA,NA,NA,17.2314990873034,NA,NA,NA,NA,17.5121663334699,NA,NA,NA,NA,15.500973098637,16.8663415844331,16.8912375363444,NA,17.1736082569116,16.7758716466632,16.9840335722653,NA,NA,15.7986734161564
"","Unknown",0.003,9.14,15.3897991170824,NA,NA,NA,15.1193001672953,15.6510955397442,15.6328021026293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.0955940925555,NA,15.2286430104598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9236297784642
"L-Glutamic acid 3TMS","Unknown",0.0046,8.363,15.3989463814225,14.1417828058587,14.9308458177702,15.326683999782,NA,NA,NA,15.386363783303,15.3769580054352,15.2060832216088,NA,15.2591373371688,15.2959058792998,15.6698510699601,NA,15.6154304442217,15.126123952711,15.426053615015,15.7199131218254,NA,15.0331557536778,NA,15.2135309375193,15.4913989208203,15.9105520346337,15.1198392237951,15.6274255714956,15.5375273700851,14.6845422673663,14.0486554502419,NA,14.8313613806129
"","Unknown",0.0028,4.122,15.2971229936387,14.9189246620737,NA,15.6659194920582,15.3199596631159,15.6156231526459,15.3186686382398,15.0422110806552,15.583001557177,15.7195604170448,15.0876746895361,14.9665318358396,14.9668061389474,14.7510842206803,14.9371903867115,14.7934798347216,15.0590246126983,NA,15.3031182211601,15.0876746895361,15.2997103873817,NA,14.9092932285093,15.0116861918543,14.5810463022155,14.819394831181,14.7594381073562,14.9500564051167,14.3617700592585,14.6032434431366,NA,15.1269582700081
"","Unknown",0.0064,5.882,14.8412252283027,NA,NA,NA,NA,14.9817844599486,NA,15.1061424809939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9943798877543,NA,NA,15.1512666074001
"Valina 2TMS","Unknown",0.0075,4.406,14.8245941411877,14.5706563886296,14.703905884693,14.8068245192305,NA,15.4398823309377,14.8758367530892,14.6356551070951,14.8506752007816,NA,NA,14.7270802752578,NA,15.2519798455537,15.0936542238882,14.9387178225072,14.6562117299858,14.9132903753145,15.0837197684302,NA,14.6325783669333,NA,14.825620184587,13.9175250723522,14.5552414775383,14.668781859626,14.4014320346405,14.227765999469,NA,15.0177557697203,NA,14.6520921225085
"","Unknown",0.003,12.978,14.783086631473,14.3656698254725,NA,15.0676362104597,14.62548637599,14.8184644194266,15.2061475327094,14.6585093910443,14.8702899215153,NA,NA,NA,14.4482738521789,15.0742314852863,14.8456577953792,15.0890884890151,15.0226934462257,14.7246923063676,15.1511758883781,NA,15.0875800150564,NA,NA,NA,14.5846301266408,14.95103227705,14.896986294918,14.7479139808931,NA,15.0163135056844,NA,14.7117793005993
"","Unknown",0.0042,5.995,14.673689180606,15.1937146522245,14.8081773727845,14.6297996543488,14.8160411193865,14.9599675693927,14.783121340533,14.919866971059,14.3237227743047,14.7393595122445,NA,14.3934915675409,NA,14.3568239906522,14.6711388407623,NA,14.5887157542259,14.5185934581693,14.4850424745331,NA,14.8970831483613,NA,14.4978735331997,14.6393322360158,14.5475840557573,14.7790066111367,NA,NA,14.8020640965221,14.4362501833684,NA,15.0335488293042
"FAME C09","Unknown",0.0025,5.285,14.4569404899704,NA,14.6099931774181,14.5490860485117,NA,14.4868221473518,NA,14.6899087562799,14.6019159459393,14.5787113813419,14.5328397887519,14.5091065968486,14.7286341359039,NA,14.64069597222,14.4012714386834,14.4656540666683,14.4096669555374,14.2479549450866,14.5328397887519,14.3612583037473,14.5328397887519,14.5674772485202,14.5638152982401,NA,NA,14.4482069402034,14.6035336295833,14.600477019582,NA,14.4598518701847,14.5139747949919
"FAME C10","Unknown",0.0038,6.269,14.3919462637274,14.6821720120668,14.4375379467743,14.4556624112377,14.3684392159104,14.3318144680155,14.3172033887794,14.5031891813704,14.4399072937546,14.5445713463789,14.4154771397614,14.4205644579765,14.6060889919377,14.3310306206278,NA,14.3262653905643,14.4051413304428,14.2956221235832,14.1427219392293,NA,NA,14.4154771397614,14.5470843530709,14.4620256007031,14.3174623040567,14.3525107523774,14.3341995607874,14.4561874363574,NA,NA,14.4154771397614,14.3234918374918
"Ethanolamine 3TMS","Unknown",0.0015,5.899,14.278933154263,14.486427704448,14.3134303978595,14.4443801548051,14.4468749135564,14.3885706461626,14.3047243137604,14.6905604831947,14.5470190045178,14.4496661713146,NA,14.4947428326783,NA,14.4548440625813,NA,14.537709966774,14.4663298127024,14.5023399985701,14.2632281716973,NA,14.5528082269093,NA,14.6197456798759,NA,14.6108489763467,NA,NA,NA,14.8335232676353,NA,NA,14.5925048493605
"","Unknown",0.0028,5.501,14.2822523773818,NA,NA,NA,13.1127844072622,12.9191365562114,13.1701071107797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.0113123007057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Palmitic acid TMS","Unknown",0.0024,11.45,13.705968154967,NA,13.4122850723542,13.6817405519331,NA,13.0648724034157,13.2075707199767,NA,NA,14.0805414286448,NA,13.6831231454979,NA,13.0952269339174,13.4560356487035,NA,NA,13.7086214893599,12.9342815539631,NA,NA,NA,NA,NA,13.6149380763766,NA,NA,NA,NA,13.1404692070779,NA,NA
"FAME C16","Unknown",0.0067,11,13.5187027386959,13.7090169438059,13.5519493686955,NA,NA,13.2507145879154,NA,13.5106932590431,13.5063783409706,NA,NA,13.5628117868851,13.7951086106062,13.5517704176199,13.4664457694544,13.6804561514333,13.5820186624511,13.3898964976964,NA,NA,13.7202451136197,NA,13.6635158472064,13.6918838553117,NA,13.4030509528454,13.5732378917125,13.6109738193289,13.7261068432202,NA,NA,13.3647861083542
