Name,Class,rt.sd,rt,RI,S48,E0,E0,Pool,S48,S0,S0,S0,E48,Pool,Pool,Blank,Pool,E0,S48,S0,S48,Pool,E0,S48,Blank,Pool,Blank,Pool,E48,E48,Pool,E48,E48,E0,S0,Blank,Pool
Sucrose,Unknown,"0,0015","13,802",NA,2176877,969011,861842,1286639,2595392,2199263,2073326,3056391,893664,1709808,1290021,0,1061312,518393,2698291,3521651,1602492,1553554,995196,3301754,0,1964118,0,2120431,585470,812063,2048546,1053951,767825,745362,4539934,38111,2834554
Glucose,Unknown,"0,0032","9,711",NA,166259,0,55495,108547,58912,189901,224379,122239,219137,147678,96926,0,110767,63929,84000,218019,234929,136771,132372,81442,0,145911,0,154966,63816,209361,130049,145135,155591,0,249328,0,174772
,Unknown,"0,0031","11,14",NA,64412,15276,0,6785,42400,17635,0,23501,16040,0,7350,0,0,0,0,9242,0,0,0,15040,0,11931,0,0,0,0,0,0,0,0,32518,0,11725
Fructose (1MEOX) (5TMS) BP,Unknown,"0,0029","9,62",NA,31927,6807,0,21499,11824,32701,0,27616,53205,29041,20176,0,21039,9603,19082,39547,44731,26133,21004,17093,0,28225,0,30636,13955,50982,25467,34486,32996,10310,50512,0,36741
,Unknown,"0,0042","9,848",NA,30145,0,0,21019,0,37885,40856,0,42356,28312,19699,0,20846,13598,0,0,0,0,25060,0,0,28748,0,24319,0,42180,25577,0,0,0,0,0,36028
Chlorogenic acid,Unknown,"0,0032","16,824",NA,27427,31925,45674,28834,25089,15055,23580,22745,47974,30840,0,0,20488,0,23326,19007,13324,27768,0,0,0,0,0,32604,0,49563,0,0,39615,0,0,0,43524
Alanine TMS,Unknown,"0,0029","3,258",NA,22491,16794,20300,23357,33781,20817,23877,29381,7656,33162,0,0,27614,0,0,33908,35350,27675,23657,51750,0,26080,0,26972,10180,12312,27297,5636,5627,18826,44179,0,0
Malic acid 3TMS,Unknown,"0,0041","7,261",NA,21518,19184,17712,15855,19356,0,0,0,18370,25173,0,0,0,18139,0,0,0,20454,0,0,0,20400,0,21307,0,21092,0,17361,16213,0,13699,0,23063
L-Asparagine 3TMS,Unknown,"0,0036","9,055",NA,16786,23335,42628,35671,31386,33298,0,24882,31092,50033,29366,0,40887,0,30296,58801,27310,44315,39351,34589,0,41462,0,45636,44814,56468,0,56018,20518,34388,109843,0,44427
Myo-inositol 6TMS,Unknown,"0,0036","10,751",NA,17520,10968,12631,0,13952,0,11601,0,29255,16067,10936,0,0,6619,0,15577,12818,15565,10900,16162,0,17593,0,17300,0,37429,0,0,24524,0,0,0,20724
