"Name","Class","rt.sd","rt","S48","E0","E0.1","Pool","S48.1","S0","S0.1","S0.2","E48","Pool.1","Pool.2","Blank","Pool.3","E0.2","S48.2","S0.3","S48.3","Pool.4","E0.3","S48.4","Blank.1","Pool.5","Blank.2","Pool.6","E48.1","E48.2","Pool.7","E48.3","E48.4","E0.4","S0.4","Blank.3","Pool.8"
"Sucrose","Unknown",0.0015,13.802,20.3937915028871,20.4034787247336,20.4470455665358,20.4029204784501,20.4555870776753,20.3666118089086,20.4108716472778,20.3958887884525,20.3798779527632,20.3984806756596,20.4044082493038,NA,20.4198126144701,20.4066980223517,20.5369198026809,20.4058600608296,20.3642188673269,20.40067390786,20.3820198263211,20.4681479851071,NA,20.3935029780638,NA,20.4052550026496,20.3956357964462,20.3886073666962,20.3959238922798,20.3919833136219,20.3812059400408,20.5023227986753,20.3931069587762,20.4060361343762,20.3953823504111
"Glucose","Unknown",0.0032,9.711,16.8155183093362,NA,16.4139841818689,16.8969579107006,16.6865846187073,16.9137904891566,16.799632308402,16.7723262945278,16.8422560851037,16.8047639246157,16.7320752177076,NA,17.0632225649233,16.3532396950462,16.3579477648178,16.945619178823,16.9409799051941,16.8613455276024,16.9321050216299,16.846315066949,NA,16.8708370141223,NA,16.8049324070464,16.4994469473431,16.7635665212113,16.813072415237,16.6102525618176,16.6111481912206,NA,16.9514291733916,NA,16.8362472928135
"","Unknown",0.0031,11.14,15.7561829896582,13.8794410734468,NA,12.878270222455,15.378279119012,14.0779799886995,NA,14.3272538826648,13.7434288600961,NA,13.223587993025,NA,NA,NA,NA,12.6010368879415,NA,NA,NA,13.7477569765995,NA,13.3158873090951,NA,NA,NA,NA,NA,NA,NA,NA,14.0589924100225,NA,13.102964700302
"Fructose (1MEOX) (5TMS) BP","Unknown",0.0029,9.62,14.7551636975394,12.9846065065301,NA,14.3844896191508,13.4980562703024,14.8159227670667,NA,14.7228165852525,15.5461957521435,14.4051278719922,14.6411990026955,NA,14.3005319177067,14.1527004525481,14.3561432103228,14.5389151959289,15.5308296658637,14.411679044845,14.3284348901951,14.0333051161854,NA,14.5261615475349,NA,14.4746907364043,14.117008466732,15.0091651693892,14.5182422602854,14.6634365101527,14.940197556488,13.4972594433473,14.6031437147015,NA,14.7499848423737
"","Unknown",0.0042,9.848,14.719794190713,NA,NA,14.3519012292406,NA,14.9700986809939,15.0919777740881,NA,15.2693500341106,14.3372440029717,14.5834822300924,NA,14.297538429807,14.7161597392547,NA,NA,NA,NA,14.5309507804508,NA,NA,14.5645191553861,NA,14.0960656661713,NA,14.664609212935,14.519312904689,NA,NA,NA,NA,NA,14.7292980531165
"Chlorogenic acid","Unknown",0.0032,16.824,14.5806773365954,15.3036927168252,15.2601003757526,14.8098274668859,14.6387706475466,13.6399776273977,14.3176733705734,14.4758374453449,15.4440945381709,14.4623719884408,NA,NA,14.266705366478,NA,14.6686932780503,13.4791741303488,13.7256401191917,14.5005591233298,NA,NA,NA,NA,NA,14.5182096219093,NA,14.9031865743889,NA,NA,15.3466061702545,NA,NA,NA,15.0031995270786
"Alanine TMS","Unknown",0.0029,3.258,14.2376816028935,14.1793505169766,14.2611542077514,14.5612829527919,15.0080261204861,14.2282930433905,14.5508329392539,14.7676875221151,12.6708476260412,14.6301166613269,NA,NA,14.6662437757941,NA,NA,14.3726852716248,15.2202751581284,14.5359506393094,14.5599624002649,15.5983464834777,NA,14.4149485837529,NA,14.354164714079,13.5711400142896,13.0518648403142,14.6411827179164,12.1158407028541,12.2231747909876,14.4090742583432,14.4136548549428,NA,NA
"Malic acid 3TMS","Unknown",0.0041,7.261,14.1735519070472,14.2908951164201,14.1224597485605,14.0542610779512,14.2133812356389,NA,NA,NA,13.8993774678568,14.2510234961,NA,NA,NA,14.9825989358478,NA,NA,NA,14.1451713131321,NA,NA,NA,14.0756643050327,NA,14.0614144363803,NA,13.9081747216539,NA,13.7774851096226,13.6713523239119,NA,12.7734268513743,NA,14.0666730689754
"L-Asparagine 3TMS","Unknown",0.0036,9.055,13.791288566921,14.87235531866,15.208289147513,15.1608371500643,15.2879279682964,14.6446291488254,NA,14.5842140977395,14.6694482851672,15.1482734832782,15.1086534495488,NA,15.3026015559742,NA,15.0954187083392,15.1262746915521,14.5164066213063,15.2078399955136,15.1626715195307,15.2122342203172,NA,15.1058825905038,NA,15.0349476142941,15.60707226286,15.0004347862668,NA,14.9739282659691,14.7515782862418,15.4901812730255,15.7330250617558,NA,15.0274736725645
"Myo-inositol 6TMS","Unknown",0.0036,10.751,13.8764291824444,13.3542949402834,13.7207539258963,NA,13.778597024619,NA,13.6499929291897,NA,14.6298909377433,13.6194428046991,13.7995131270065,NA,NA,13.4132021755066,NA,13.3850955002837,13.7398505950718,13.8118801922317,13.5409625530364,13.8291691094091,NA,13.8827121551983,NA,13.8405305420405,NA,14.8668341565014,NA,NA,14.2225414592639,NA,NA,NA,13.9350305295754
