"Name","Class","rt.sd","rt","Blank","Pool","S48","E0","E0.1","Pool.1","S48.1","S0","S0.1","S0.2","E48","Pool.2","Blank.1","Pool.3","E0.2","S48.2","S0.3","S48.3","Pool.4","E0.3","S48.4","Blank.2","Pool.5","Blank.3","Pool.6","E48.1","E48.2","Pool.7","E48.3","E48.4","E0.4","S0.4","Blank.4","Pool.8"
"","Unknown",0.0051,6.079,20.7686522746013,20.7727883394047,20.8222065205957,21.039630508631,20.8171205829686,20.8488998345967,20.5905761335938,20.672570910181,20.8926465017017,20.7326767199829,20.7909350826293,20.7796704984162,NA,20.7506159082565,NA,20.7533048048753,20.7522549010329,20.7462452950713,20.7859558182911,20.6849901226131,20.6540803212418,NA,NA,NA,20.8949964545038,20.9505081420238,20.6452937542859,20.8167241745325,20.6896015277802,20.8293909847014,21.0646469210189,20.6195157902222,NA,20.7434408977761
"","Unknown",0.004,3.903,21.4433007311767,19.258620534639,17.4701879641209,19.0677331969151,19.0168784399003,NA,NA,19.3807756201024,NA,17.698620566835,16.9618051524947,18.3197296530431,NA,20.2925928584552,NA,18.8827373186487,19.1726953095872,18.3638588951948,18.8863279060418,19.2694975748767,18.0029515945471,NA,17.2369891311969,NA,19.0463339205681,19.479012874626,19.081174273554,18.4353217580654,18.720722912165,18.6086109594774,19.1368629630625,NA,NA,NA
"Ethanolamine 3TMS","Unknown",0.0047,5.941,19.8232594908063,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.5501179188154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.9489461607097,20.1230345715919,NA,NA,NA,19.791777063241,20.1433288353594,NA,NA,NA
"FAME C10","Unknown",0.0042,6.305,19.4178457718008,19.217339671878,19.2362301467499,19.1970695205338,19.0546261082066,19.1139862543488,18.849972775158,19.1414175264443,19.2202261879438,19.1374845132927,19.0464097717672,19.301286815932,19.7315049842352,19.2863832636195,19.392065394826,19.2350929280196,19.1872684679226,19.2710854039262,19.2787589198298,19.0867758491589,19.1288569419133,20.175041565857,19.259138912546,19.5372059086464,19.42280828228,19.5045670676969,19.2921363046189,19.4277836299518,19.2495629590482,19.4024888764427,19.6943056044622,19.131823828825,20.1248075752083,19.2778198347911
"FAME C09","Unknown",0.0033,5.367,19.290539369407,19.0094969497239,18.9784224346785,18.7946081783312,18.6489815040549,18.7678239787628,18.4003078509954,18.9564292571448,18.8131805147086,18.9314344224202,18.6520890276766,19.0255249501199,19.7644071031171,19.1922585179688,19.2801098371247,19.104992470426,19.0541696609468,18.9289299334101,19.1343532729822,18.8875539778588,18.9261929726999,20.0286297815259,18.9152978933593,19.6352085712083,19.1829568041594,19.3295451702809,19.1428408543101,19.2590581498409,19.0312129864008,19.1271124485144,19.4369584085417,18.9046096901227,19.9297027102495,18.9154414378787
"","Unknown",0.0055,3.04,19.6339640729309,19.0593239203449,NA,18.4142681510445,18.1814488701746,NA,NA,NA,NA,NA,NA,18.0122425369619,NA,19.9395073353136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.863812603077,19.3812937716558,19.0367116826585,NA,NA,NA,NA,NA,NA,NA
"FAME C12","Unknown",0.0038,8.041,19.1134690078774,19.1090564336865,18.9803238481375,19.1632259306884,19.1351186767367,18.9542168446792,18.8329137071212,18.8670319845,18.9414934413062,18.8124168318816,18.9995210409055,19.0510354168331,19.109203514112,18.9360349174476,19.0659599894241,18.9039665114846,18.9348942763702,19.026448898971,19.0008858436039,18.8949814940844,18.8123641918893,19.5618699157669,19.1203082502376,19.3252324134689,19.2527198349339,19.2248950505736,19.1109928603878,19.0954437071781,18.9988136883065,19.055144779876,19.4276441559823,18.9736470573036,19.6359919014015,19.1722189930174
"FAME C08","Unknown",0.0035,4.375,19.7036560089858,18.3375274538326,18.2791428914571,18.0805512243809,18.0013416615117,17.918830710207,17.5884775137598,18.3998224800954,18.0640821978473,18.3185202847831,18.1974013523149,18.4573338917177,18.127287578328,18.6545208767625,18.737718813262,18.5979699949359,18.4992953721129,18.3195529069542,18.4949425168034,18.3556622797291,18.373159556895,19.5419713908983,18.167913461468,19.7600607316137,18.4742808570404,18.9202525674948,18.7183082636222,18.6969593212,18.6001134090678,18.6721001654609,18.9419861857443,18.2197291678518,19.4557656150192,18.1209461958739
"FAME C14","Unknown",0.0042,9.594,19.2433940949503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.7794711641013,NA,NA,NA,NA,NA,NA,NA,NA,19.1448323707906,NA,19.3363035216516,NA,NA,NA,NA,NA,NA,NA,NA,19.2601026545755,NA
"FAME C16","Unknown",0.0032,11,19.4145761478672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8516079026821,NA,NA,NA,NA,NA,NA,NA,NA,19.0726272824862,NA,18.9971181794309,NA,NA,NA,NA,NA,NA,NA,NA,19.0542321762876,NA
