"Name","rt","mz","S48","E0","E0.1","Pool","S0","S0.1","S0.2","E48","Pool.1","Pool.2","Blank","Pool.3","E0.2","S48.1","S0.3","S48.2","Pool.4","E0.3","S48.3","Blank.1","Pool.5","Blank.2","Pool.6","E48.1","E48.2","Pool.7","E48.3","E48.4","E0.4","S0.4","Blank.3","Pool.8"
"Sucrose",828.58,73,22.0606744842513,21.9998093297457,21.7741102833426,21.8798667577551,22.0612140987307,21.9240922365822,22.1976867310762,21.1623225023171,21.7719750372844,21.9941937774326,22.1985544328844,21.7137781107153,21.6341894643684,22.3436674308071,22.0659360827726,21.889216831404,21.9303899695869,21.505727275657,22.2958935755645,21.8509576744343,21.9399386365013,20.470430356971,21.8360526504642,21.9229901856169,20.9817730384282,22.1530052013202,21.4568555165809,21.4110621857145,21.98171336248,21.836370000217,22.2538662632263,22.0714324239376
"Glucose",582.8,73,20.0721213766208,17.9190001858001,18.4447573644387,19.5256094134057,20.2054188861289,20.5200849663903,19.2664000787,19.8261939408199,19.45598298498,19.5043760240455,15.8217975496617,19.4641372023954,19.2747685189563,18.9166884989932,19.7938446163986,20.5450633983938,19.4695251100746,19.4743048553917,18.6529605161008,15.3065259248243,19.5368594248356,16.226072144854,19.4777205293236,18.4735347370996,19.6599177048367,19.506933039991,19.1126314745033,19.5291972202344,18.3034148121318,19.6581286161683,15.4022899822335,19.5159501991528
"",573.6,73,19.7075919365787,19.8252700087963,19.7061634161343,19.9007778067923,19.7424636729163,20.2616368820553,19.3940159391734,20.7355235924215,20.1481098126077,19.8394364458784,19.4240710825267,20.1361831704485,20.3172139255664,20.3838944489179,19.8789530278028,20.4736763388246,19.9147858986331,20.2070998626032,19.7647599770816,15.639912591603,19.7650540975151,17.4218181685534,20.172595368409,20.2257720644016,20.6816191300039,19.9810942320388,20.6151135740516,21.0060231939413,19.5997065895995,19.6773189397182,15.8746671734412,19.7901724687598
"L-Asparagine 3TMS",543.46,73,16.9802022626555,17.3818032070072,18.0522156188078,17.9551702577883,17.8904096986566,17.4848529694296,17.571971141475,17.3408219161378,18.1940145551351,17.8502876934391,15.9803723035052,18.2958648066129,16.8879873482965,17.847713429291,18.2259700727343,17.8140891757779,17.9122958524553,17.8330227083683,17.85751365619,17.9723404521578,17.8082896944951,18.4810475647044,18.1214234737227,18.3599007940368,18.0617855721946,17.7959705365225,18.1222625271621,17.0497654444965,18.2119085466883,18.7254459185938,17.6173692448224,17.6542526457357
"",668.19,73,18.6168722582678,17.4326097921706,17.2220244580566,16.5762392080059,17.3175716476489,16.9019940664284,17.5876753713452,16.8495604548784,15.866659076455,16.6793128932065,18.084412350159,15.8398675290984,15.7525112216055,16.2660272600942,16.4379423956528,16.1712644589101,16.3934475505526,16.2798269156626,17.2495771836146,17.2856051101149,16.872886609666,17.5690673554122,15.7682981967511,15.9866633645167,15.7065555680063,16.2668358342314,16.004516136267,17.0434195625282,15.9840362809854,17.4665601456304,17.6727787885662,16.7272864654332
"",662.17,73,18.803093461896,17.4821113140457,17.2336065781077,16.5641979712631,17.3223488097751,17.3818670752822,17.5796509363994,16.858669208774,15.8454883827439,16.666674637324,18.2712842036994,15.513283928902,15.7452325099888,16.2725095146995,16.4298695333979,16.171113186364,16.3906236655198,16.2753664106465,17.2355869404088,17.3293034042707,16.8633089539304,17.5916286731458,15.3583665633457,15.9783975867111,15.6950076422328,16.2691224710615,15.9936217266492,17.0250490522791,15.9805061987121,17.4688857027477,17.7040981463966,16.7152010525067
"L-Alanine TMS",195.83,116,17.0786521302369,16.7894329313555,16.9203001374059,17.1843894606642,17.5539134380766,17.7508577078426,17.5678029775865,15.4708708787094,17.6732294002961,17.1204434609675,16.3880791103694,17.4959190638477,17.2881099550464,18.7318149432851,17.9868703059461,17.9954324873938,17.331940356738,17.1874659381042,18.5969104774241,14.0795425698293,17.0149986211637,14.4461189898547,17.5224959950046,16.2144888414229,15.9063311145419,17.7025281193465,15.2032404958817,15.0785222471425,17.1945323924074,17.4996171325388,14.0501546492539,17.5467235372545
"",592.18,73,17.257612116837,14.9839491104578,15.171657017811,16.3343377352227,17.3147732299747,17.7772563117597,16.1107311918452,16.7071060337172,16.3482194109163,16.270911009194,13.1885275597377,16.3515638927773,16.0269975144993,16.2088497036917,16.7656450800715,17.6776504269704,16.2586445590552,16.1195052760413,15.7793255395239,12.2066861388243,16.1174886816491,12.3762516504355,16.4170847029314,15.8774786359195,16.4335776609623,16.2613226000749,16.507763482094,15.8486285115317,15.1810390603428,16.3766641529327,10.009214993686,16.1077154919075
"Chlorogenic acid nTMS",1009.28,73,17.1014434439979,17.8030615375333,18.2502851201444,17.4386616528848,16.548081115463,17.1537533078453,16.8023821752701,17.8346632421365,17.4392420140456,17.4192937830884,17.2615563350879,17.2015957543386,17.9725671306119,17.0155338417367,16.495437085498,16.3808892153912,17.2834735269618,17.7243921139286,16.3718839282667,16.7960874476266,17.0984575992369,14.7342826186594,17.1720678417312,17.5110024270707,17.7891619241387,17.3193749611985,17.901383022638,17.4392440575489,17.448786249518,16.0526792941837,15.9549888704492,17.2032420805444
"Asparagine 4TMS",473.44,73,14.3475258613345,14.6671724436777,15.3371081058705,15.5625293680118,15.8524478194482,15.0151249162141,15.998606034959,15.1375365765436,15.9970191409254,15.1969924507231,14.5814962549097,16.3121001850916,13.9783148266203,16.6406608380066,16.9413608919122,15.9185934196481,16.2561070365975,16.5878496234148,16.11431636762,14.2485110207765,14.7071598711871,16.1039746166511,15.767609409899,16.0022880466548,15.8226349796955,16.1733757328516,16.1011957574932,15.1875956591706,15.9664951148327,17.3815274559415,14.9699086994712,15.3285595908337
"Chlorogenic acid nTMS ",1034.68,73,16.2431775125526,17.8146611502148,18.3015820598617,16.8933646696823,15.8277056789629,16.2256771454789,16.073079186785,17.9212385219679,16.9111162010825,16.8191968561,15.876773689912,16.7053663794372,18.186998340769,16.3018024182216,15.7777616705466,15.9398116680692,16.7541854194847,18.0120181090865,15.8954879350882,17.1910214294419,16.4904302619072,15.3063362353756,16.4938335098607,17.4989207983865,17.7444044298642,16.6636401015009,17.7800675353586,17.4498039817368,17.5234285611578,15.7493295390164,16.7786636853048,16.4604226032028
"",288.88,296,7.22765567126401,7.34705302245884,8.23871529198297,7.24548662829999,7.40509049693345,7.03717469241516,7.32905130603858,7.94747388569215,7.32697091460161,7.22408367132622,8.58823441471487,7.68195371934669,7.12363097336826,7.32287322639429,7.94560385253299,6.96311036486325,7.18269889847157,7.60623799931619,8.03135611634237,7.09918932247785,7.409180589092,7.75674015726647,6.62091499051775,8.13976513042272,8.50331634043245,7.63311031659829,6.6469548654381,8.66275011786763,7.65583981148504,7.24888716194879,7.64125421525673,8.15011668542218
"Phosphate 3TMS",326.82,299,13.1404105356021,15.9129455046445,15.8535222000667,13.5186542129207,13.0208190098174,12.5506463110641,11.2327123061459,15.8792940176071,13.7711153508679,13.459983171883,12.8982515081705,14.0318918094569,15.612514936034,12.1591708687568,13.1197899816334,11.9908628110841,13.9452352809699,15.647909115606,12.1471431014482,12.8197782362571,13.9418384981017,13.210471073342,13.8538608621791,15.1843429683577,16.0040095101891,13.9426127529514,15.6802752178212,15.6444839180078,15.9368756123834,12.6111550852562,13.3224801361926,14.0211261230007
"Myo-inositol",645.21,73,16.9309216409242,16.3281062429538,16.4452027406266,16.5002196583264,16.4238696962717,16.7723235620248,16.6874678360551,17.0800152075707,16.4846549681463,16.4660495133176,16.4429761146752,16.483845620096,16.2800995790892,16.8894639965629,16.394559090127,16.721003576631,16.4804911063837,16.2516582982028,16.7512266176828,14.8667171846671,16.4366202964216,14.5845630778923,16.4898010579469,16.2554221072033,17.2122276895732,16.4715155856702,16.3354155837525,17.1672210205823,16.068289078212,16.3937912118466,14.605269724993,16.499074421721
"",282.17,75,16.6987977680607,16.1465768060486,15.8199062284251,15.4765783052851,11.3321844620663,11.5748418607776,11.4300032907397,11.917366526081,11.6048213655161,16.0749821401606,17.4523838399728,11.6464834356478,12.2888494954812,11.5696692330144,12.053175643772,11.9875987069216,15.345899274293,11.4024436785799,12.0388390171489,17.2029713631785,17.1996076853594,16.9020657392203,12.0302666051774,11.9892869107831,11.6299003546005,15.2053126079666,12.203344580964,12.0570167224701,12.0645654908255,11.3777962089414,16.3595783430084,17.2963858014941
"Malic acid 3TMS",435.71,73,16.7494118440959,16.7185607371785,16.4042459363348,16.4858663897646,16.0250867510476,15.6192374593225,14.1676107052024,16.2179504056918,16.7965426866329,16.3967346177842,15.9861145647349,16.7395620935618,17.1219166447697,14.5369671906565,16.2656303751193,16.1540891212612,16.4776276751371,16.3646034666735,16.2581879352752,14.2304338110267,16.3609223860393,13.6724275095137,16.815745385425,16.1388943323026,16.1141102587441,16.5228716815751,16.1341646118027,16.2466276658194,16.3892309560303,15.4704446652366,12.5054962286839,16.4451279456955
"",546.88,450,8.59055471997412,8.34255463735548,8.45399447807355,8.64208590166174,8.42345145248784,8.74997276846596,8.24678376822387,8.24661573448433,8.42923361029969,8.15485016717945,8.07671634296474,7.65357818340875,7.79602677172199,8.51315334535214,8.47166405640201,8.27851441801188,8.16173758878839,8.28699822424457,8.73643402635665,8.12289528404318,7.7614772211788,7.98710059733737,8.22669425917209,7.50440402572278,8.25499379750479,7.87602963444321,9.02493582508303,8.23325895551609,8.27511558943457,8.09169168787203,7.54595219973683,8.37654223002405
"",548.73,298,7.87111748082807,7.1420965777891,7.53799004774837,7.31381085682284,7.24588721736895,7.03502331748634,7.9070443772028,7.51309013481945,7.74070283292575,6.76550903426438,7.23067312202837,8.0563319981912,7.21718360281776,7.45618798656487,6.91579864720345,7.71988967256321,7.25251646297472,7.71156143253165,7.23739516432374,7.35183898100347,6.78143816096739,8.0357951781758,7.44209114646218,7.29222579713257,7.18717859659522,7.70629533342939,7.57800875672541,7.17881493528952,8.23925558053256,7.67360199998479,7.33971792269698,7.45120053895104
"",361.4,73,16.8137586115681,17.4736984690205,17.1448121773109,16.8298633126001,16.9157535970903,17.0706025522305,16.9666153518352,16.8989982250058,16.7478984159575,16.8550386041713,20.4600352981513,16.8040701906094,15.9206007343999,16.8942492441986,16.892040893117,16.8417253708268,16.8670732957572,16.7575179991313,16.877350963734,19.0358496228567,16.9630589675645,19.0295788570045,16.8736752447605,17.064782686695,16.4901333041197,16.9417135775188,16.7324115134422,16.8513467728013,17.2904429720841,16.7836315575773,19.1092545281407,17.1043297317892
"",323.89,386,6.83515948064642,6.91020483926965,7.06216818144701,6.715616570604,6.35724357700965,7.76823504243561,7.22030363188177,6.90678623266594,6.99664426770337,7.85194673387482,7.86971601526305,6.36117879240842,7.18671161774218,7.28000156999579,6.90520747987328,7.47880294529824,7.64095887285377,7.36804734773855,7.50414838815864,7.49413783066716,7.3151434018969,7.73384690359987,6.96832301068494,7.32519508605728,6.37164961895529,6.43265483568974,7.97418820408688,7.51040918265403,7.58268477567518,6.32360439914146,7.21765673611886,7.3128073697162
"",446.91,73,15.7826744346644,16.1399672298411,16.0498151923696,16.1156526382436,16.047206880205,16.4881744180371,16.0688383505525,15.2264305846546,16.5015771431406,15.9877647497009,14.9923112664714,16.6396292956598,16.3555123719523,16.8264386633586,16.3640613053124,16.5756663985295,16.1500378387896,16.3430476195673,16.5427411170037,12.8730880552936,15.8576326046633,13.7306407746005,16.4708755794757,15.662040092863,15.017720258831,16.1376993114159,15.0947818181036,15.1392022335956,16.2460289389079,16.0874482902157,12.3256867584456,16.0021360551221
"",451.09,330,7.74161156319759,7.70669376349688,8.24492955261542,7.08109925289527,7.58219256977273,7.45671449154318,7.78532914520722,7.49135865508033,7.68701679948241,8.1408321567552,8.09518545490019,8.02608248132714,8.19254823963157,7.6712728360972,8.26428358855529,7.49099914017734,7.40356061572037,8.12099021721071,8.0824975964593,7.18106351153187,6.93907964237845,8.84443142270667,7.02316195542767,7.86745781404115,7.58106661510251,7.79728451600051,7.62165559648621,7.72978280819619,8.14931944808269,7.76810717206632,8.25155456318687,7.72646307468002
"",359.47,86,15.1683298540194,15.4284617949202,15.1304059278786,15.0809200724751,15.2606949913073,15.3805662578814,15.2756353553904,15.3294052995065,15.1124265817841,15.0536037692947,16.2097652002437,15.1710256590051,11.6479976047247,15.2827596608251,15.2787752618168,15.3218978902342,15.092628211745,14.9926110466033,15.2187881350491,15.3266842007476,15.0840388503384,14.7101688332758,15.2401616281725,15.5360859405444,15.0806563702023,15.2916028234745,15.2190815250471,15.3985784684039,15.6401892812664,15.1166499742777,14.6466353386501,15.340654208712
"",627.25,73,16.2453974620869,14.7264860738771,14.8156173955005,14.4575029737181,15.4640218307637,15.4301170848459,15.6846678969279,14.6596649441789,14.2081336828931,14.6510934351558,15.2633804741081,14.1081310538954,14.293804069259,15.1054560286031,15.0914566769211,15.1395501463178,14.3799274021426,14.3793851018286,16.0345157503138,12.7553404319669,14.7329735338876,10.5103157282678,14.3016821462676,13.602522798306,14.6911217200461,14.2222661189263,14.4956880494856,14.9362864076774,14.0565847712711,16.3727195412367,12.4203113144582,14.457835731616
"Asparagine 4TMS",460.45,73,16.1663905612294,17.044118731261,17.2819986194336,15.5266598593625,16.3319573726411,15.5688514482801,16.3490893499602,16.1752718425368,14.2059731601414,15.6488050898157,15.7103862565193,13.5718634549641,13.1460569787168,13.6312832788802,15.3278230367959,15.4543450160806,15.3700899861638,14.889521454777,15.8439589981552,15.9152779433619,16.0446947297284,16.8167266436158,13.6270342714243,14.8433633165763,14.6501998699355,15.0504680091154,15.6003114775108,14.6700830608635,16.206149874179,16.4425600427635,15.6939115479905,15.7374976550178
"",329.96,110,14.2261380239749,12.2338682764945,12.0607665564371,12.2023385133187,13.2615112414181,13.2453534499882,13.2138219541871,12.0665549065373,11.7418876097288,12.2582135231333,10.9451956209026,11.3197065507515,7.88717673491812,12.3073605225743,12.5003731396492,12.3027066262954,11.9084496509468,11.4514659327332,13.2594931734118,10.7938681315488,12.3423746326156,10.594706491382,11.6456960225817,11.560418828956,11.4020045796986,12.0019342112777,11.4206578605834,12.1527061953395,11.815368271907,13.2701731738037,10.6134212072799,12.3942998476412
"",541.07,131,12.8255211356923,13.3075614601517,14.0365481637449,14.0289656653353,14.0770518430183,12.5588078336163,13.5607033907853,13.4885419873672,14.4473141719488,13.8942621151621,12.5790389092534,14.6660772913656,12.8865736838074,13.975541306961,14.6449713314082,14.0520905676444,14.0091278990703,13.9864258859664,14.0109663697453,12.6986207278866,13.8148710457138,13.0998879833362,14.4149780088766,14.546319654895,14.531769697927,13.9773996248369,14.334388504173,13.2687901512086,14.3561158572881,15.1449281391326,12.6850002588917,13.7484314694843
"",632.19,73,15.4164391377537,14.4408325535644,14.4853649951465,14.5056635423178,14.7010698716412,14.4546761924371,14.5621180280682,14.0272996242496,14.9260194174684,14.5287168523096,14.8898072270841,14.9945561682091,14.4247486884795,16.0547493094053,15.2004882110241,15.5592434218914,14.6653724673155,14.4907928077962,15.306967612389,13.9681975015904,14.3236930475589,12.8380605966441,15.0364799289437,14.4681113001848,14.0829251117585,14.6106428714793,14.2168506640583,14.0031904806427,14.5198042055744,15.2887038354896,13.0872435253981,14.3411390142073
"Glutamic acid 3TMS",501.65,73,15.951031402049,15.2023970254788,15.4389960754136,15.2995714069076,14.3316363003087,13.5018048924051,14.1008920578043,16.0229636525855,15.4001972124268,15.2424899988726,15.6337995259284,15.4142556243453,15.9418167941921,15.9660612124183,14.6459731463189,15.8184454283852,15.2563829404101,15.4524734518721,15.969702486804,14.7401989571936,15.1724778834014,13.6462175466904,15.3585503416527,15.8559914300895,16.044206068738,15.2628073141356,16.0978181367149,16.1185277767241,15.3745967840846,14.6127223124608,14.2476480364204,15.18188697851
"",223.31,73,13.0025979119012,14.1047560582977,13.9559291257465,14.139069929729,13.4585411373784,13.9270508494211,13.8763846335408,14.4286184916432,15.0693564341897,13.6514861520722,19.1509231521007,15.6274224537568,12.3165422753724,15.0811099365357,15.1493560254418,14.5322286488919,15.1916300669042,15.9906320115439,13.483700557092,17.2829346409303,13.343247235973,17.3994379869739,15.3490748494401,15.9130263249868,15.2636310896851,15.5283068809501,15.2126226878735,15.0457930699531,15.6721424155157,13.24143888312,16.3283544051006,14.2861937964518
"",552.05,117,11.1659580825369,10.7680529230754,11.1963886210616,11.2087842154388,11.1202705511058,11.4642677698177,11.6256317249585,11.5048352711838,11.0328215322237,11.1468304178348,11.6486652399088,10.908313253135,11.0152611901411,11.5557141124964,11.5862025573761,11.3367736250496,11.0637616326127,11.0664701121465,11.6510908750669,11.9248558394568,11.3652249059322,11.8633760406892,11.1338177888954,10.0823693382812,11.4275348289724,11.1496106299994,11.2908614037256,11.2632475741584,10.5332282349518,11.8515764201509,11.5218377502589,10.8356738231459
"Serine 3TMS",352.05,73,15.3733044008867,15.422924318031,15.5136555704295,15.459554224706,15.5240628707596,15.4220573042837,15.6318415611788,15.4105125781086,15.7657609631324,15.3564102814702,14.1982937570703,15.7307763308704,14.993724274513,16.0622305104857,16.0665152218338,15.8597247681816,15.5036005658387,15.2473664981739,15.8879063276671,11.6338190204765,15.1964315117525,11.3675707725202,15.7761916820379,15.7116246147457,15.7808313588442,15.5258827591219,15.43649295956,15.5205070634703,15.5245566951011,15.7713486288604,12.2339029598687,15.4560574544453
"",264.34,189,7.5163395396288,7.70242056839874,7.68781583361696,8.08774652237496,8.0417012334081,7.86707514316347,7.81042012928099,7.75729739537442,6.52014155350202,7.68755875373522,9.01798237318101,7.47730377027133,9.01483277038,7.28848938774298,7.32939033141276,8.52460755225462,7.59958997065531,7.37900808726493,7.89034281972795,9.54507297744773,8.0548120600931,9.43899598552188,7.66539781534227,7.29420243632575,7.80613365051261,7.89000696981564,6.68858342659334,7.10454119058904,6.31389933233686,8.19763148072381,9.1465393880004,7.39542815558249
"",606.09,73,15.3534859575742,14.7892504936618,14.8118780658609,14.4314198770624,15.5427526807132,15.2688523702812,16.0100656079881,13.2599254016037,13.6101940056604,13.9445071792083,15.3253616904221,13.5068802001867,14.7871967204067,14.8224832734388,14.8965155868167,15.3646134706766,13.7689990351532,14.9653538640166,15.5418705241976,13.5357786777695,14.7131957299516,14.9114536924003,14.5453652351206,14.1682962233511,14.5479661647006,14.2212199866356,14.6051192388158,13.0397229650155,14.6556842169446,16.024058841936,14.8154046500042,13.7392573724651
"",576.84,84,16.0564926587934,13.9783348256118,14.3398666242389,15.6528444536713,16.1435249346494,16.729114964378,15.2342385966817,16.0759510102639,15.5789715618544,15.5529770609805,16.51250851063,15.6452004223554,15.0171986932991,15.3920365782994,15.879006445353,16.5663384103287,15.4113152427439,15.1919692506739,14.9232874733876,14.0946197416665,15.2824521538289,15.013839365431,15.5917323499914,15.0687907939283,15.9159893865907,15.4657246601786,15.4280860714287,15.9618951716067,14.4888980659233,15.6628965484692,13.9406286058552,15.4020066905283
"",368.19,147,13.6409128532503,12.0548182117573,11.6080492873344,13.6116652980885,14.4004457590283,14.3282397718861,15.4585804284129,12.1978933275857,12.9557251044188,13.6409180795757,12.9122982039706,12.1214202911069,10.7984064965099,15.6503733733763,13.2460839925253,14.8553104579153,13.2273423716394,11.3568162759163,15.5424342361322,12.3112504528537,13.5147130121452,12.2307691968921,13.2977931459434,10.0744213239101,10.5279650684981,13.736783642691,10.6156289507672,10.8838840078585,11.3454362113687,15.5613206852783,12.1762022534896,14.1240415835349
