Name,rt,mz,S48,E0,E0,Pool,S48,S0,S0,S0,E48,Pool,Pool,Blank,Pool,E0,S48,S0,S48,Pool,E0,S48,Blank,Pool,Blank,Pool,E48,E48,Pool,E48,E48,E0,S0,Blank,Pool
Sucrose,"827,913490946602",73,"3304916,1","1562631,95000001","1368817,15","2071363,65","3822216,45",3245624,"3253466,9","4384536,45","1438643,95","2593464,05","2132087,65","594,800000000002","1672578,60000001","811594,149999992","3831439,75","4576340,00000003","2381377,15","2350980,30000001","1539853,95000001","4321812,09999996","26335,4499999998","2889960,4","3492,75000000001","3060752,80000002","838299,800000005","1157999,74999999","2757356,95","1529478,15000001","1157147,5","1198025,8","5492713,8","75216,8","3645034,20000002"
,"572,235855468165",103,"108352,7","24494,3500000001","36257,8499999999","72051,1500000005","42165,0000000002","118316,75","157357,1","83402,0499999997","159740,2","98163,9000000002","66021,5500000001","342,951671924589","72530,4","42098,2500000001","67447,0500000001","133394,3","148033,750000001","89757,1499999997","79276,3999999997","62409,3","238,921616513568","95676,6999999998","47,3574888579005","103358,75","49771,6000000001","134395,550000001","87298,9000000002","98801,15",112492,"35759,1000000001","147757,75","223,436521106191","112277,3"
Glucose,"582,606699292735",73,"237721,499999997","55624,2258907399","80047,3500000005","151496,400000002","97126,5500000007","261154,900000002","307247,499999999","176766,499999997","305283,2","202505,250000002","138342,000000002","65,9518232161","154943,599999999","98126,9499999989","111771,650000002","299493,049999996","314842,599999998","185839,050000001","178810,15","113598,350000001","100,713783906167","202882,7","263,860596845848","212381,150000001","64527,5499999984","245128,349999999","157401,700000001","159120,500000002","168009,95","59206,7499999992","284050,150000003","517,894758794293","213296,499999997"
,"543,154481646794",73,"30139,0852014312","34909,5999999998","63448,8000000002","53583,1999999998","102537,849999999","45978,2499999997","23242,6595002818","83257,4999999996","53220,5","73473,3500000003","47321,4999999997","151,688907971368","53696,5499999993","19371,3500000001","41910,9999999999","76190,5000000007","39151,3999999995","62786,7500000002","59622,0499999994","48598,0500000002","3133,54186748758","62757,1499999996","931,960504869817","59250,45","55858,1","78770,1999999997","50686,45",77047,"31019,2","51333,3500000007","133177,05","4147,00188012813","53309,4499999993"
,"473,576198220409",73,"13901,4499999999","16883,75","32503,5499999998","30616,4499999999","28401,5500000001","35112,4999999999","16012,3500000001","45069,4999999999","29228,0999999998","54382,1000000002","25955,8000000001","65,6843892481954","48824,9499999998","8853,94999999994","47090,8000000002","68424,3999999997","36250,5500000001","39575,4","47421,7500000002","45632,7499999999","408,700000000002","25228,15","162,51077704772","49837,8999999998","43182,1499999998","47266,4499999997","36487,1000000001","45397,85","19377,1499999999","37206,1999999999","117228,4","229,393846828287","30802,3500000001"
,"668,23677495172",73,"89392,9999999995","38696,6500000001","35925,7500000001","22205,7000000001","84478,6","37959,2500000001","24971,9500000002","52702,2999999999","37812,5499999997","16503,9255407376","19172,8000000001","330,321202953328","11343,5769730949","7936,58077854927","16129,906660634","25434,2520594094","14290,5685606332","22561,9152998253","22857,15","39365,1","1137,39047565187","34880,5776198844","706,236162044317","15764,640380772","11950,9891719987","15125,48726276","18298,605665178","22228,6149870792","30282,8","12014,1803210425","68473,8000000004","1350,78054542144","32801,0999999999"
,"662,491951166917",274,"134,414408075394","179,083932148599","409,1","215,165506242935","166,880855938323","102,213660309948","264,364321380893","122,824904716532","112,418586747338","176,786836909952","104,51024154167","146,570653450043","140,083951820126","140,197700925643","81,0331778404764","137,470216060036","140,807181350657","108,201183819099","126,560996076853","133,805756503864","105,686051393139","120,5","79,6767013103063","122,334364427235","237,062925198305","259,690198471421","369,334024610064","177,681295705183","160,905248675174","312,266128067238","359,442748427362","146,613246115425","159,064745670048"
Chlorogenic acid nTMS ,"1009,26097566569",73,"40183,7000000005","47317,7000000002","68201,9999999993","39971,3500000001","36580,1000000001","21886,1999999999","34107,6000000001","35806,1500000001","71710,3500000005","47829,6000000006","36370,9000000001","183,262997441473","30272,2000000001","41821,3499999999","34485,3999999997","28467,3000000001","19096,5499999999","41351,0999999999","58633,8499999998","20729,7999999997","715,6","53636,4499999998","488,349999999997","46928,7499999999","30933,15","65890,3","39090,6500000001","83128,6500000011","48398,15","45352,5000000003","33087,2","839,67497744407","52704,5999999997"
L-Alanine TMS,"195,627064232397",116,"35926,4499999999","25335,05","31610,2500000001","34654,8499999999","51281,9000000001","33683,0500000001","38029,4","46659,8499999999","12305,05","51964,1499999999","32929,6500000001","77,060453615566","43877,2499999999","27978,75","81622,2999999999","52678,7499999999","57512,4999999999","44752,2999999999","40586,9","82387,7999999999","144,842012057231","40770,1000000001","107,255385237886","43004,0000000001","16436,35","20098,2","43298,8","9441,24999999999","9265,74999999999","32171,3499999999","67094,4","200,11741338859","45409,8499999999"
,"589,377670485101",433,"102,190711296214","114,190257731533","59,6502437151838","51,7343477771152","60,8688697426491","57,6628435970515","74,2706739521054","173,2","59,9372830230782","119,35","81,270227869819","41,9121481673728","49,5005485271358","101,562769038556","31,8395677098717","78,2032291000518","109,32834815435","96,6928909125745","95,2865428807569","41,1137548634169","108,002662187857","121,170289633455","105,552219008207","79,3563847845261","290,663290750342","150,398574748098","93,3890149733905",581,"153,550000000002","103,375718346605","101,08516842667","182,270139015446","85,6021908170579"
