"Name","rt","mz","S48","E0","E0.1","Pool","S48.1","S0","S0.1","S0.2","E48","Pool.1","Pool.2","Blank","Pool.3","E0.2","S48.2","S0.3","S48.3","Pool.4","E0.3","S48.4","Blank.1","Pool.5","Blank.2","Pool.6","E48.1","E48.2","Pool.7","E48.3","E48.4","E0.4","S0.4","Blank.3","Pool.8"
"Sucrose",827.913490946602,73,19.9502849184999,19.8723225506209,19.577979083115,19.6365699769626,20.3613987470108,19.7545475864509,19.7098094187604,20.04952351625,17.2549324193342,19.5254098302799,19.8025831923484,20.0748905644473,19.2658424619077,19.4301359174528,20.0340887234709,19.6085141013813,19.7171361215201,19.5903084122142,19.0846141405772,20.2685970046313,21.9703234526419,19.8339253703394,19.9454242671463,19.5367353942961,19.4323018629389,17.7288422604747,19.7568385219294,19.0357464579011,18.8188946130269,19.7616317605724,19.7582236641771,24.0067403313591,19.9021356445575
"",572.235855468165,103,15.9029958843451,14.0719831577866,14.4519572771401,15.437145232575,14.5534255597784,16.1202700245909,16.456776376308,15.2960952297277,15.8103886510494,15.5393383149584,15.4299878359246,16.0704749142039,15.5292650992728,15.227944261376,15.2873936245132,15.8859305718129,16.5837111484513,15.5493953114351,15.3178164755106,15.0760325147713,12.2635265259005,15.5262048282234,11.1490297727815,15.7087878972217,15.404586452813,15.8755688378319,15.7129985961268,15.5593998062756,15.9312068173518,14.8579909515019,15.7332221674096,11.8810876062699,15.7335385275728
"Glucose",582.606699292735,73,16.885345096625,15.2133068671698,15.5646051194877,16.4017206203406,15.6130607984299,17.0710692705269,17.2394017209825,16.2061419798627,16.4797583335971,16.4649125898504,16.3895299853579,14.2686969700283,16.4985658976567,16.4453404233528,15.8290153175739,16.8236287104683,17.5327306917134,16.4887774791656,16.4059302804859,15.7723716333511,11.5310348189292,16.5089946472915,14.0798339700257,16.5775291142209,15.7843924946471,16.5604191237914,16.4145251894211,16.1780931366037,16.4433672471454,15.5553968468917,16.4746986496827,13.7107333582928,16.5215834551603
"",543.154481646794,73,14.0947507687113,14.5946241479968,15.2675686040725,15.0367946771372,15.8722117759374,14.8039044278596,13.7432179933578,15.3368985179372,14.2889928031637,15.1512750717896,14.9763967598586,14.7455748028294,15.1269411615271,14.1100968420208,14.6484779809497,15.1348439341834,14.7002217733945,15.0616240834575,14.9289584872307,14.7577436251066,15.8471792759845,14.9430030285364,15.3346063679822,14.9481153244023,15.5692150812082,15.1488307780293,14.9647357205535,15.2180430842718,14.089564985796,15.3868784802228,15.6329445606076,15.94203017764,14.6924094681685
"",473.576198220409,73,13.1272658994131,13.5993329630549,14.349994474914,14.3449303188442,14.1509389509859,14.5993541172707,13.391577958814,14.6172096049459,13.6755232962702,14.8514852460805,14.2199112599687,12.8831464635616,15.1338687623642,13.0173630225082,15.0006420539893,15.2118867684927,14.7389450654043,14.5188242927202,14.7092347970996,14.8250349682103,12.3878076264085,13.7325729880232,12.3366108523494,14.8745061782776,15.1999065796632,14.597754398547,14.6257902420244,14.5487750810378,13.5020116643996,14.9496190825201,15.6414661362501,11.1594919682919,14.0250787699963
"",668.23677495172,73,15.8328273611519,14.8048389482355,14.5049271928587,13.9004320373959,15.73775232526,14.7371971274753,14.0600843424463,14.8649210810771,14.0827395128769,13.1544766960925,13.7994708751855,15.1024073401871,13.0539166552467,12.8719923913785,13.4789665134849,13.8188924224299,13.4192823116922,13.7289885066006,13.677638015258,14.6306837647846,13.7890786919599,14.2161787804232,14.3776743388626,13.2415927691238,13.3497164468421,12.9839632793777,13.6475737182007,13.5385467250134,14.1651400331724,13.3223820817656,14.8922491528924,13.6310006340139,14.1313431234794
"",662.491951166917,274,7.18844276990431,7.66194749583171,8.81166609166421,7.94807950775887,7.58195485083546,6.68618771347823,8.20691378427275,7.16909941510562,7.05190729491741,7.72436171285051,6.95801432058303,7.55025117010296,7.47979156191202,7.37982963878791,6.65707882256071,7.47786610206726,7.35454013644673,7.03619324825239,7.19133122257324,7.14815849660998,6.83622215665465,7.0668491413658,6.70108493471369,7.29026236379167,7.18503358709586,7.15943305526755,7.86722533347198,6.8294821638193,6.69295166214363,7.59127996528932,7.78244783833423,6.62940991117785,6.74770395033207
"Chlorogenic acid nTMS ",1009.26097566569,73,14.5935170776718,15.0610840688321,15.3940440340335,14.6758891715265,14.4632781509785,13.8370183947275,14.3992870379382,14.2140532952587,14.8601479041822,14.6022918002369,14.6571402205734,14.6719749369671,14.3747107397826,15.2326108383779,14.4721362912892,13.8423966217468,13.7456774732167,14.5240497699076,14.960186829014,13.620858918731,13.4267605417292,14.773316112979,14.1451353859656,14.7072834343039,14.7146061889156,14.9912309332306,14.6677609701996,15.3726062507767,14.7753429121634,15.2237525441638,13.7326989314564,13.2984264304714,14.7477732656614
"L-Alanine TMS",195.627064232397,116,14.5026520450157,14.1871882781675,14.3125479907637,14.5287344009693,15.0072881568021,14.5462806805815,14.646905625101,14.673186898249,12.4370513430332,14.7920927573326,14.5676893887393,13.0839459738893,14.986615204517,14.6805448398034,15.800692144434,14.8439656965339,15.4110834099552,14.701758674165,14.4903800384143,15.6825227546414,10.8709340152345,14.429381822249,11.7161613347551,14.6691607533305,13.8071691005524,13.3720455304482,14.8774933384116,12.2885054221657,12.4426869699129,14.740819716338,14.843596211943,10.9391964199042,14.5892843845636
"",589.377670485101,433,6.80652783357307,7.04146500146558,6.17940873744629,5.99209697604811,6.22192146514598,5.85657439095522,6.50789145872372,7.59540195156654,6.09949002651818,7.09977434304731,6.55198816924442,5.55008686231047,6.07917577124428,6.87272649444045,5.21008356728613,6.66387279015597,7.12994643144929,6.70879392329262,6.76720092741049,5.47947271487394,6.82420278358227,6.97904422428157,6.97357155210349,6.50066363823766,7.28392635507078,6.36542274911676,5.82559500615997,8.46729114296589,6.60546901149277,6.00587411770668,5.79401966275583,6.92376951409599,5.82544947683373
