"Name","rt","mz","Blank","Pool","S48","E0","E0.1","Pool.1","S48.1","S0","S0.1","S0.2","E48","Pool.2","Blank.1","Pool.3","E0.2","S48.2","S0.3","S48.3","Pool.4","E0.3","S48.4","Blank.2","Pool.5","Blank.3","Pool.6","E48.1","E48.2","Pool.7","E48.3","E48.4","E0.4","S0.4","Blank.4","Pool.8"
"Sucrose",832.906661554725,73,21.0927806834635,25.156848457173,25.0870887785002,25.0324712806959,24.7519577309629,24.8166256614619,25.0984252729459,25.0322017957325,25.09890115906,25.1387667316626,24.5320902762115,24.9965470415794,21.0696823775091,24.9275008979303,24.9259408102403,25.2837611836284,25.1952548318886,24.9709631043343,24.9810882515727,24.5805675042131,25.1899659506093,25.2382859524957,24.7511747895445,19.6948802683781,25.0518342814403,24.848729582654,24.4211599328823,25.1529725699002,24.5565359995838,24.5435341404265,24.8333633583949,25.0797450693284,24.3441133432647,24.9986843226678
"Sucrose",827.742494302812,73,22.2708951712528,23.5928365301728,23.5585058100619,23.8440371915759,23.4548015783663,23.3610849084352,23.385177418343,23.3053466629821,23.5611266955389,23.4743908453819,23.5358499567548,23.6077118615767,23.570164393395,23.5320735299567,23.996488918446,23.4643773634919,23.4780577325598,23.5323109750111,23.5305869797492,23.3859948761644,23.4268899909934,26.4911166992108,23.3800570210309,20.4011313567836,23.6206947423875,24.0362752699815,23.5251139450488,23.7387023111306,23.622936596655,23.7002591811003,24.0178237670216,23.3547080903825,25.9252187359327,23.6253748799745
"",575.565230702782,73,23.3320500537601,24.3469900149083,24.3825763719846,24.1530077840417,24.0398834790557,23.9884230762071,23.7875670847662,24.167268410036,24.5834729768321,23.965875443998,24.5109100778759,24.4002719299703,21.844809316418,24.3639684217175,24.5334287758632,24.3337730514894,24.3545679532608,24.479654630693,24.2981292420955,24.2197706254473,24.0199146016722,21.1607839675084,24.0237947688706,21.5529446144844,24.350995660268,24.4412315230278,24.4769147579345,24.2898152020856,24.3576069054608,24.608013598432,24.0604168781588,24.0650545434468,20.8857802948554,24.0217251214101
"Glucose",584.724445826648,73,21.2043237289285,23.2702718065416,23.6879497396322,22.7292455798287,21.8997407939948,23.2573042776217,22.6889395640579,23.8165898658067,23.7800473662431,23.3063148034809,23.1072685399426,23.2998049832825,20.4658509861667,23.2023887373981,23.2427537963922,22.9162505004061,23.3793174149089,23.5499069233345,23.2573864278682,22.8145343259373,22.6913781728716,19.1370588051756,23.1227804076654,20.8057992642283,23.2154434047212,22.9787013928457,22.2038447138135,23.2097906161627,22.5245808768446,23.1494563916944,22.6470702755155,23.0477209353081,19.3320126866237,23.1395978923926
"Alanine 2TMS",209.631614277302,116,17.502321786399,22.3635929200137,22.4395966758166,21.9594467623501,22.0825782640223,21.9069584621229,22.8578296523173,22.1398148653761,22.3028811129298,22.2199577198357,19.8310853022639,22.4217252531124,19.2436593060882,22.3746497765495,22.1728136265301,22.8986669991323,22.4015181511534,22.644941307382,22.1574316946315,21.9101106224843,22.8876404089022,18.6464332817161,21.9030184217562,18.7854290378502,22.4198463128279,20.5263617050653,20.4230735681094,22.2466069024066,19.5140706686893,19.3514610245891,21.7324404810078,22.3191313273358,18.9960442907396,21.9405083033131
"",332.093907047882,73,22.8241579385171,19.7415200274539,19.4082809486453,22.0817674116028,21.8910012981749,22.4726656494612,18.949958912548,19.5537634620528,19.3820578592409,18.801852856012,21.7974356968484,20.1144351621402,20.2156918161409,19.9170650059188,21.5669356011876,18.5709861681843,19.1813525687557,18.5197224398054,20.4944153678747,21.5213872376488,18.9495247978483,21.9424719421464,22.1007959660809,21.7128602684502,19.8569821568763,21.1166545263905,21.7033889067357,20.5325665831124,21.5224816492738,21.5748110817371,21.8177470603591,19.2734248037784,21.8784991740149,21.9972250837388
"",329.679270623856,73,22.2088532974855,19.6609760055511,19.1212924682194,22.0230802346452,21.8277439012813,22.8895039759215,18.5460446254852,19.1976037270301,18.9847220670739,18.2415879220298,21.694460230918,19.9393183134851,20.1274765870444,19.8436720605209,21.5646171089949,18.256451763768,18.9774608766135,18.2053818114929,20.4123000018123,21.4382148982849,18.5404104480342,22.1478524004401,22.5482815310142,20.804803436875,19.680335951362,21.0224009130604,21.6269847703899,20.4228393733843,21.4423481116867,21.5006671056541,21.7357779114797,18.881121825325,22.0917852726884,22.4612211234091
"",662.464275174771,73,20.6886288019061,20.897223207956,22.3518813524447,20.8087318448131,20.8583543512154,21.943899488756,22.6285387415103,22.3207147011343,22.3386230837045,22.4182086504234,21.6931602402209,20.3826402134542,22.5452290581533,20.1958854997957,19.9307264731104,20.5952650634999,21.4193761317705,20.582501564038,21.1275546434568,21.1274740492877,21.9718748566206,20.7258409377472,21.5704985518241,20.574076493945,20.1740362981895,20.1126946312258,20.4061038854115,21.1119959687486,20.7341911907651,21.6338935050208,20.4070672218497,22.2652447916515,20.8339804002879,21.6573661040369
"",668.82775990763,73,20.5536845038138,20.9024197852244,22.0016369846762,20.8023244856515,20.8547046730033,21.9510694051673,22.6356795037981,22.320863917538,22.3321057065001,22.4211632631985,21.7006126773452,20.8032315666172,22.766396817182,20.4625388574895,20.418428291282,20.9879011383658,21.4126748551189,21.0024734884861,21.1405969949349,21.140626522381,21.9691380467387,20.716011902494,21.5678480383743,20.6082372231039,20.5676487216565,20.581031829722,20.403529597255,21.1188272689452,20.7548748755891,21.7070180009923,20.3989992979421,22.2640965820609,20.8429031705081,21.6527402701565
"",593.006795957406,73,18.3946496972381,21.8830145331445,22.1108848904132,20.2083788112006,20.9623130823726,21.4230014508136,21.0065005628561,22.2202327200512,22.1038195045528,21.8880429925575,21.7785681652463,20.8595919148465,17.6843883620577,21.8154083264858,21.2915961592042,21.3463906927339,20.6829444102083,22.050987015904,20.675665028118,21.2258416282559,21.2639608224174,15.0816819042517,21.301433712592,15.6006036800688,21.9017296490928,21.4621530880096,21.3090761958402,20.8357520048939,21.2945698966078,20.928220500047,20.9298075438318,21.265462913145,15.1981851036516,20.1109932679773
