"Name","rt","mz","S48","E0","E0.1","Pool","S0","S0.1","S0.2","E48","Pool.1","Pool.2","Blank","Pool.3","E0.2","S48.1","S0.3","S48.2","Pool.4","E0.3","S48.3","Blank.1","Pool.5","Blank.2","Pool.6","E48.1","E48.2","Pool.7","E48.3","E48.4","E0.4","S0.4","Blank.3","Pool.8"
"Sucrose 8TMS",828.578939209241,73,21.8948436928474,22.1503021979557,21.9117925152114,21.8985996990767,21.9359869604199,21.7220337048994,22.1411135718422,21.0588463412576,21.7877635036245,22.0333020015593,23.0634593560096,21.7806343454013,21.9058930541331,22.4178449643488,22.0295436476882,21.6147168339036,22.0204199473028,21.5160332408547,22.2852909499283,25.3011478700828,21.8717627416554,23.2059750457402,21.8854008235579,22.0747312696991,21.029317801231,22.1579417994702,21.4793854355512,21.3108359629074,22.116090436214,21.7393430265856,25.3357027667485,21.9907371069716
"Glucose",582.802682805307,73,19.9144217728618,17.934691033346,18.4685414964136,19.4756726486203,20.0963771453746,20.3503646034689,19.218119264683,19.6910283870932,19.4248987269673,19.4626796671996,16.2595287005433,19.4566290951901,19.3995277960166,18.9068354249006,19.7342141790867,20.3491889858058,19.468280877203,19.4388663040629,18.6047922622949,16.4934595228433,19.45646158741,17.4760821808386,19.4637286401723,18.5090007526001,19.6127539476014,19.4613824035856,19.0570536298701,19.3956613828877,18.3229285564604,19.5434464424055,16.5703328983836,19.4354759044957
"",573.597307627879,73,19.5448238336209,19.8749006105246,19.7597462875714,19.8665738260221,19.6266770098676,20.0803731024877,19.341640030089,20.6083217529059,20.1282480339802,19.8165170620003,19.9752740726537,20.1482241434749,20.4847084826848,20.394658167584,19.8242694273377,20.255304903229,19.9371197391612,20.1835787098336,19.7232001818365,17.3931690052515,19.6853682727219,19.0588659483543,20.1746736124185,20.2922065451778,20.6592436235702,19.9462871491479,20.5788792867716,20.879190484948,19.647816808312,19.5624824276589,17.5097071494666,19.7065287153812
"L-Asparagine 3TMS",543.458758644605,73,16.8310307187811,17.3498204438799,18.0318601363448,17.8840135504324,17.792076014828,17.3328677266268,17.5309855619102,17.1928484156031,18.1466449758578,17.7833053816413,16.2579469195945,18.2584708486658,16.9444972300455,17.8101834935693,18.1590543758036,17.650344919612,17.8759962191749,17.7782560995337,17.8044635901147,18.3627746876122,17.7282343991133,19.1855812675631,18.0836253426754,18.3487687956364,17.9764161924969,17.736870007661,18.0382587246497,16.9074398752184,18.1908469089271,18.61531697654,18.1404675970358,17.5805496484324
"",668.18740113132,73,18.4755127683496,17.360031980821,17.1617455367382,16.4883392953998,17.2286252947515,16.7664326151016,17.5530909718329,16.6906092594266,15.8053120831373,16.59227412379,18.2245442232304,15.7752962582962,15.7445176298039,16.2076856155008,16.3641916206501,16.0356627258588,16.3257712169466,16.2058104757132,17.1972010192313,16.9948081074928,16.7936788854262,17.8186459537939,15.7099036175744,15.9332499936564,15.5871390856293,16.1977695924916,15.8960710375678,16.8961238372458,15.9279604987391,17.3643505428946,17.6465056779866,16.6604191520248
"",662.165010674456,73,18.6616998769859,17.4096954277842,17.1734887570556,16.4763585155777,17.2333631489396,17.2462339569622,17.545043341022,16.6997525440632,15.7841929843224,16.5797101464694,18.4119792208743,15.4488184779557,15.7374993223871,16.2142445271395,16.3561449292838,16.0353925173532,16.3230711793499,16.2014265457452,17.1832018094233,17.041198520213,16.7840952960972,17.8429866930995,15.3000491232434,15.9251530661603,15.5757165865314,16.2000916424978,15.885265541779,16.8777586639404,15.9245686475162,17.3666340779246,17.6800086886339,16.648305502208
"L-Alanine TMS",195.795756692828,116,16.936361421975,16.7212776936451,16.8644212618133,17.0981407757152,17.4638934884123,17.6133388541228,17.5325850417704,15.3128628029863,17.6132915908814,17.0354334223289,16.5435918382422,17.4342379943784,17.2872286443873,18.6755669913945,17.913834322477,17.8565823198599,17.267646602158,17.1155409516336,18.5442894130116,13.8622739669395,16.9356288358475,14.7442979813894,17.46620827426,16.1656871890851,15.7903403441136,17.6344290988154,15.0972238532112,14.931372286958,17.1422320411776,17.396259802926,14.0835224844055,17.4790850047041
"",592.184796486812,73,17.128325016345,14.872665671514,15.0743483672417,16.2365127538887,17.2376778354234,17.6640059348576,16.0803535895302,16.548630085702,16.2785638524004,16.1696737286086,13.1771614439948,16.2654978275542,15.9589859830586,16.132837891711,16.6869514665024,17.576545228697,16.1638065903342,16.0316755763134,15.7284605069011,11.2948058774956,16.0428805611258,12.201050124122,16.3447649945662,15.7854204434586,16.2954972178473,16.1858735153005,16.386701735118,15.7111138779725,15.0942399135804,16.2909035158043,9.47142545043275,16.0485209675698
"",588.418453610517,73,17.8393560064568,17.0326169949194,17.1994114012892,17.6054435843253,18.0483118342922,18.293125835638,17.4503211030993,18.1587498941744,17.6150015530731,17.5349350111975,16.2140934970011,17.641780655282,17.8726187058452,17.3391667528124,17.8753675875117,18.3030580634995,17.5851433121535,17.7397075520915,17.0767834769939,16.6231479695999,17.6083308828109,16.1776670253217,17.644265200436,17.5839316152539,18.2299084111765,17.5704247715506,17.9899284826894,18.1602932977536,17.1744046810794,17.678240294652,16.2120345197811,17.5524840102624
"Chlorogenic acid",1009.28447104932,73,16.9571656516364,17.7449085040441,18.2043518435742,17.356368353072,16.4557151191494,17.0120294796206,16.7656440311321,17.6791631739826,17.3826640217426,17.3390628709989,17.4512721963572,17.1466007681734,17.9878029299059,16.9641798849441,16.4240824533285,16.2349456392349,17.2269234522257,17.6572952063297,16.3188159621015,16.7462980553487,17.0188242740357,15.1433981437682,17.1207537179899,17.472692106134,17.6813802618362,17.2535967883029,17.8012179229635,17.2929372595238,17.405100395127,15.9470461755825,16.1237370611169,17.133884777314
