Name,rt,mz,S48,E0,E0,Pool,S48,S0,S0,S0,E48,Pool,Pool,Blank,Pool,E0,S48,S0,S48,Pool,E0,S48,Blank,Pool,Blank,Pool,E48,E48,Pool,E48,E48,E0,S0,Blank,Pool
Sucrose 8TMS,"827,913490946602",73,"3304916,1","1562631,95000001","1368817,15","2071363,65","3822216,45",3245624,"3253466,9","4384536,45","1438643,95","2593464,05","2132087,65","594,800000000002","1672578,60000001","811594,149999992","3831439,75","4576340,00000003","2381377,15","2350980,30000001","1539853,95000001","4321812,09999996","26335,4499999998","2889960,4","3492,75000000001","3060752,80000002","838299,800000005","1157999,74999999","2757356,95","1529478,15000001","1157147,5","1198025,8","5492713,8","75216,8","3645034,20000002"
,"572,941896181443",73,"230184,800000002","224077,799999999","216215,299999998","240041,999999999","121149,000000001","233701,200000001","325350,050000002","224774,800000001","632394,649999998","364756,449999997","210253,299999999","70,6051627673486","285255,000000002","226347,45","354332,650000004","390579,550000002","366695,250000005","296239,199999999","341124,450000002","271091,500000002","577,527396823289","267469,699999998","220,063752679083","366878,849999997","246994,599999999","554125,200000002","262645,350000002","468753,700000001","537097,450000003","158653,5","367221,85","860,380766840442","290123,700000001"
Glucose,"582,650176476248",73,"237721,499999997","55624,2258907399","80047,3500000005","151496,400000002","97126,5500000007","261154,900000002","307247,499999999","176766,499999997","305283,2","202505,250000002","138342,000000002","65,9518232161","154943,599999999","98126,9499999989","111771,650000002","299493,049999996","314842,599999998","185839,050000001","178810,15","113598,350000001","100,713783906167","202882,7","263,860596845848","212381,150000001","64527,5499999984","245128,349999999","157401,700000001","159120,500000002","168009,95","59206,7499999992","284050,150000003","517,894758794293","213296,499999997"
,"543,149623011523",73,"30139,0852014312","34909,5999999998","63448,8000000002","53583,1999999998","102537,849999999","45978,2499999997","23242,6595002818","83257,4999999996","53220,5","73473,3500000003","47321,4999999997","151,688907971368","53696,5499999993","19371,3500000001","41910,9999999999","76190,5000000007","39151,3999999995","62786,7500000002","59622,0499999994","48598,0500000002","3133,54186748758","62757,1499999996","931,960504869817","59250,45","55858,1","78770,1999999997","50686,45",77047,"31019,2","51333,3500000007","133177,05","4147,00188012813","53309,4499999993"
,"473,532751496712",73,"13901,4499999999","16883,75","32503,5499999998","30616,4499999999","28401,5500000001","35112,4999999999","16012,3500000001","45069,4999999999","29228,0999999998","54382,1000000002","25955,8000000001","65,6843892481954","48824,9499999998","8853,94999999994","47090,8000000002","68424,3999999997","36250,5500000001","39575,4","47421,7500000002","45632,7499999999","408,700000000002","25228,15","162,51077704772","49837,8999999998","43182,1499999998","47266,4499999997","36487,1000000001","45397,85","19377,1499999999","37206,1999999999","117228,4","229,393846828287","30802,3500000001"
,"668,15172744711",73,"89392,9999999995","38696,6500000001","35925,7500000001","22205,7000000001","84478,6","37959,2500000001","24971,9500000002","52702,2999999999","37812,5499999997","16503,9255407376","19172,8000000001","330,321202953328","11343,5769730949","7936,58077854927","16129,906660634","25434,2520594094","14290,5685606332","22561,9152998253","22857,15","39365,1","1137,39047565187","34880,5776198844","706,236162044317","15764,640380772","11950,9891719987","15125,48726276","18298,605665178","22228,6149870792","30282,8","12014,1803210425","68473,8000000004","1350,78054542144","32801,0999999999"
,"662,153899850376",73,"101966,77791913","39987,5678394634","36420,3222723783","22102,4194447015","84793,5013642917","37771,0825373701","34439,6447124146","52846,8810597321","38076,236312299","16206,5999999999","19142,8235075593","320,586828083076","8194,40000000002","7946,39999999998","16142,4000000001","25429,495208697","14273,7500000001","22592,65","22781,5457325731","39101,3511748328","1110,16800099023","34881,35","662,740794589675","11124,4500000001","11856,7","15119,05","18346,45","22224,2500000002","29539,8443688488","12001,4","68806,651085714","1398,59428589676","32824,6037498421"
,"1009,28262651525",73,"40183,7000000005","47317,7000000002","68201,9999999993","39971,3500000001","36580,1000000001","21886,1999999999","34107,6000000001","35806,1500000001","71710,3500000005","47829,6000000006","36370,9000000001","183,262997441473","30272,2000000001","41821,3499999999","34485,3999999997","28467,3000000001","19096,5499999999","41351,0999999999","58633,8499999998","20729,7999999997","715,6","53636,4499999998","488,349999999997","46928,7499999999","30933,15","65890,3","39090,6500000001","83128,6500000011","48398,15","45352,5000000003","33087,2","839,67497744407","52704,5999999997"
,"195,639188202224",116,"35926,4499999999","25335,05","31610,2500000001","34654,8499999999","51281,9000000001","33683,0500000001","38029,4","46659,8499999999","12305,05","51964,1499999999","32929,6500000001","77,060453615566","43877,2499999999","27978,75","81622,2999999999","52678,7499999999","57512,4999999999","44752,2999999999","40586,9","82387,7999999999","144,842012057231","40770,1000000001","107,255385237886","43004,0000000001","16436,35","20098,2","43298,8","9441,24999999999","9265,74999999999","32171,3499999999","67094,4","200,11741338859","45409,8499999999"
,"589,492078518057",73,"45761,4801715107","23560,1526346837","24032,5713022641","35678,9831896103","25700,0906537101","59236,2993675939","68938,6950404946","43146,3002638134","93092,1593467491","50351,2915435011","32307,3510282783","110,533298741963","39610,5074407445","28055,5826227526","33787,173690204","70815,9655121442","72487,8918215006","44029,3875026658","48664,4120751953","32192,1008598836","861,85","51237,6619769256","270,149661886909","52272,329914071","29509,9529845398","80122,9519537346","35946,0076118273","64618,4817932571","64699,9821098104","19599,4262419204","60390,4406692332","1078,60000000001","54145,2925233476"
