"Name","rt","mz","S48","E0","E0.1","Pool","S48.1","S0","S0.1","S0.2","E48","Pool.1","Pool.2","Blank","Pool.3","E0.2","S48.2","S0.3","S48.3","Pool.4","E0.3","S48.4","Blank.1","Pool.5","Blank.2","Pool.6","E48.1","E48.2","Pool.7","E48.3","E48.4","E0.4","S0.4","Blank.3","Pool.8"
"Sucrose 8TMS",827.913490946602,73,19.9141289581773,19.8955993797479,19.7269539238796,19.7844373959119,20.3240455078819,19.9486140942248,19.757279557187,20.0964943721458,17.4049680716186,19.6079282586305,19.8718384602362,22.2925277721411,19.4633398898415,19.7211428711395,20.1217711590019,19.6815674946059,19.6482515048505,19.6806914838222,19.3564112465071,20.2181252131155,25.3680286693903,19.8406237293568,24.0336567742744,19.5703382795701,19.6879971089882,17.2768148248772,19.9731737098661,19.1753874203581,17.8649205658556,20.0273663415431,19.7906838760097,26.5192512828127,19.925830427429
"",572.941896181443,73,16.6378977767636,17.1556779630203,17.0013744918761,17.0326666974137,15.7792646489308,16.8259885890087,17.1727487374,16.4566723609747,17.274066902149,17.2376229269973,16.9323507726769,15.9533595470254,17.3177314652999,17.7828864297783,17.3721123113193,17.0264271046162,17.5737632834575,17.0809744715647,17.3803494823302,16.8665592745687,15.8419553872033,16.8078579843945,15.9131859995739,17.2307323480948,17.7538722120253,17.3165045889524,17.0806638283995,17.7060538484863,17.5549995693582,17.03708189323,16.6945408928275,16.0223799456503,16.8136274021077
"Glucose",582.650176476248,73,16.8396461626308,15.1697525445263,15.5596526735802,16.4587735629929,15.5988137919212,17.1596865641036,17.2759675081268,16.287077972464,16.4776898313187,16.5021425223793,16.4330456445141,14.9891762591013,16.5348640157058,16.5360306337639,15.8842501847837,16.872644959571,17.5043888701176,16.5078077153659,16.4921192756953,15.7889893910132,12.3125019833982,16.5159680123022,15.113029909208,16.6226724035939,15.763620830692,16.4000844797309,16.4657171148529,16.1975326454091,16.0720617915024,15.5972038449151,16.5372263709162,14.2872555101197,16.5116867157723
"",543.149623011523,73,14.0584819087516,14.5343261725761,15.2150771118743,15.0670277839298,15.866019353127,14.868974628214,13.7817217866459,15.4251126746597,14.2630695783191,15.1748911974865,15.0143332552496,15.0902830133113,15.1195746316029,14.133862215856,14.6979068916882,15.1807886120251,14.6803946479647,15.063545298835,14.9533359621565,14.7978871697299,16.0415919333521,14.9544285718685,15.6191016587358,14.9994278636011,15.4828115565956,15.0674282322193,14.9820337947453,15.2043809627609,13.8720237074732,15.3685113297144,15.7092947951146,16.0803639198967,14.6879765906583
"",473.532751496712,73,13.1108194024572,13.5379745103433,14.2753111948815,14.3611049896944,14.1422404067763,14.6378515042456,13.4333625264395,14.7009173940688,13.6398324422213,14.8766397046941,14.2582325155968,12.871893174808,15.1098157088707,12.9991814205567,15.0372614632115,15.2590026732413,14.7316205405578,14.5194982216993,14.7018180500248,14.8766650826009,12.1584648198246,13.7576145814142,12.0158172353687,14.9434425063483,15.0902680954623,14.5691055412828,14.6216159970654,14.5344878589784,13.3914368552663,14.8919771817657,15.7372304468477,10.9903042608627,14.0377924964009
"",668.15172744711,73,15.8209979236056,14.7453688344069,14.4296944203645,13.9155216358088,15.7281766996583,14.7698311898942,14.1016433353365,14.94625028126,14.0463599992769,13.1812545043504,13.8383418832465,15.035251831575,13.0295719091315,12.8493197044721,13.5121751295964,13.8657641167058,13.4140683752036,13.7308688439766,13.6683361814096,14.6828479553627,13.5032694775304,14.2445936431592,13.9735599674191,13.3143411082983,13.2411507560207,12.9602840111519,13.6408742041266,13.5274153414455,14.0654730324992,13.2609630192699,14.9919971027668,13.4214848338139,14.1485544100208
"",662.153899850376,73,16.0135110234631,14.7938581741026,14.4504901962837,13.9106731574033,15.7349168269993,14.7646900993863,14.5682469863809,14.9522413680245,14.0600563745911,13.1576617917038,13.8378806830518,14.9745223093435,12.563107611599,12.8519731538369,13.5154326166015,13.869110471936,13.4150349691457,13.7351649534274,13.6656248712208,14.6751499045836,13.4545287486312,14.2466886561038,13.8648737619714,12.8146917391512,13.2301933070453,12.9633423825915,13.6461963447595,13.5295969191949,14.0327738495588,13.2594128699597,15.0021827642863,13.4584125164158,14.1516870864854
"",1009.28262651525,73,14.5659654466826,14.9972548750877,15.325238072681,14.6967085950843,14.457024628601,13.8898028647759,14.4401299613538,14.3020911158185,14.8276676285808,14.6243025659996,14.6944134796665,14.82745810655,14.3544744027431,15.2302093981846,14.5166341062543,13.8890365144509,13.7319787550915,14.5229065847877,14.9626332384218,13.6691761475228,13.3786978933965,14.7902358081986,14.0907115731241,14.7662093354658,14.609105534851,14.9422665366012,14.6724215105795,15.3534106038914,14.6224755311639,15.1811604106735,13.8182884539756,13.2595788524746,14.7504068561918
"",195.639188202224,116,14.4874340322519,14.1263064486434,14.2376105788868,14.5445685323458,14.998478282554,14.5832700589654,14.6886485892588,14.7563610126096,12.4011693081812,14.8176016152519,14.6061525245878,13.057903558848,14.9623486962234,14.6610023135759,15.8364860422233,14.8910158056404,15.4043080906196,14.7026912924843,14.4822914667098,15.734421654027,10.6261868047355,14.4553062906324,11.3727732617624,14.7390642804075,13.6976354573069,13.344779665168,14.8726331759822,12.2748722501218,12.3350949093358,14.6821032615217,14.9404122937754,10.7589781967884,14.6031882565103
"",589.492078518057,73,14.7391930695084,13.9869179583187,13.8184656183632,14.5243109327857,13.9367184078902,15.3127808135856,15.4392729056705,14.5573655180237,15.1837332579257,14.6870743444931,14.514173311788,14.183136645528,14.7317697944088,14.6549383330014,14.4724381533871,15.1840501247677,15.6426708719006,14.603249600965,14.6873104494996,14.2896109139095,13.7269582700008,14.7143189102012,13.3281653603502,14.9054803424278,14.543155771943,15.2042855186168,14.5417383664851,14.9823794713895,15.0245260508123,13.9718806201227,14.6683816574284,13.6981875589351,14.7773410095542
