"Name","rt","mz","Blank","Pool","S48","E0","E0.1","Pool.1","S48.1","S0","S0.1","S0.2","E48","Pool.2","Blank.1","Pool.3","E0.2","S48.2","S0.3","S48.3","Pool.4","E0.3","S48.4","Blank.2","Pool.5","Blank.3","Pool.6","E48.1","E48.2","Pool.7","E48.3","E48.4","E0.4","S0.4","Blank.4","Pool.8"
"Sucrose 8TMS",832.909819836565,73,21.2464475456747,25.176258675507,25.0697654599043,25.0371677618519,24.7576633761419,24.8103629983693,25.0347479959005,24.9518474704693,25.0258919146253,25.1257151876501,24.5301950235774,25.0011832118774,21.3941528247604,24.9808951482554,24.9677687312981,25.3377436088187,25.2033513037866,24.9866059530405,24.9976830496152,24.6115424423024,25.1855690803397,25.4951960198756,24.7624633635897,20.3445786271431,25.0674221048243,24.9081172861675,24.4652131186241,25.1381121751442,24.616715566815,24.5796694494867,24.8721004814573,25.053379659817,24.5088531251064,24.9909887617421
"Sucrose 8TMS",827.742494302812,73,22.3407085905598,23.611334349203,23.5449802005636,23.8438968875753,23.4549418682567,23.3552238505237,23.3377732636106,23.2415048885309,23.5046077127752,23.4655763908294,23.5255266715058,23.6144861638772,23.8052177440632,23.5778204255968,24.0395026842105,23.5190424487025,23.4910527774784,23.546868381774,23.5496062817492,23.4093602042323,23.4279465799225,26.6924273422501,23.3876328005878,20.94150907948,23.6342299755033,24.0825176617563,23.5551786750397,23.7291766303611,23.6634803644724,23.7269452076256,24.0456622236176,23.3419482236117,26.0458582589773,23.6211150873245
"",575.564567459406,73,23.4272705098211,24.3659606081915,24.3679591559412,24.1543885146307,24.0416680962661,23.9824388712247,23.7350308476631,24.0982049359385,24.5218418181558,23.9557805651001,24.5030778908288,24.406528735696,22.1071582677885,24.4123478675598,24.5763371492043,24.3885104670283,24.3662575190996,24.4947136711736,24.316586058648,24.2455417888392,24.0193860049681,21.3793134247643,24.0325136589015,22.1267559426559,24.3653176111835,24.4917452477247,24.5113171435387,24.2787425746328,24.4042358203515,24.6377012059588,24.0916840128825,24.0481479898585,21.0198635048658,24.0164412687213
"Glucose",584.724445826648,73,21.1981549582658,23.2861436018798,23.6772506138785,22.724356818861,21.8953342934994,23.2517650136348,22.6578998481654,23.7695674538348,23.7394728252852,23.3012797382147,23.0900936565594,23.3072845329826,20.6179225968137,23.2383389832536,23.2845019307956,22.9689356987782,23.3949711255022,23.5618861259489,23.2769399340662,22.8301531194584,22.6966320340085,19.285366842023,23.1268426908722,21.2434601273296,23.2256699131121,23.0105968559369,22.2205167001524,23.2044286742823,22.5464025614982,23.1664419621444,22.6640606051563,23.0472228405347,19.4124314902412,23.1382149965191
"Alanine 2TMS",209.631749109055,116,17.4052834836434,22.373713695327,22.4310614507571,21.9491331161723,22.0738808898418,21.9014540421232,22.8473453073131,22.1148712804381,22.2826272363594,22.2191585230131,19.808103879168,22.4280866281669,19.2934568746339,22.3948317740114,22.2097214430671,22.9448524723401,22.4169508789268,22.6514986367987,22.1747432822612,21.9155543585168,22.895955342866,18.7315884887078,21.9027447906613,19.0906154687523,22.424349568614,20.5387940017033,20.4236538667055,22.2450996459185,19.5138176005542,19.3560416375532,21.7361265530639,22.3315516781225,19.0306893282098,21.9417925091048
"",332.1021536913,73,22.6771862894949,19.7477140419258,19.4003955287479,22.0692774233337,21.8806629485925,22.4670257866125,18.9500506939827,19.5413873198268,19.3734695698656,18.8032770473616,21.7732599029604,20.1194244646413,20.2078004027961,19.9273526773019,21.5999348683806,18.6118903402279,19.194918618843,18.5225784568757,20.5091517101457,21.5212518046857,18.9581000143936,21.9950903098233,22.0982839521836,21.9383996094119,19.8581256104108,21.1185970677906,21.6958065196436,20.5327224313068,21.5115579838727,21.5730480451863,21.814916843432,19.2910710305588,21.890124677459,21.9993859069815
"",329.679270623856,73,22.0517138609492,19.6664207817157,19.1135573544863,22.0102954444197,21.8171713420373,22.8838677260521,18.5481286053004,19.1877692937297,18.9785419812156,18.2434969542556,21.670280633708,19.9440249163782,20.1078273655079,19.852001848082,21.5967980476965,18.2962531266157,18.9905688941412,18.2075177286992,20.4264608791102,21.4370356589313,18.5489296060386,22.1941083659489,22.5453779873746,21.0135647970572,19.6808855671898,21.0223815392156,21.6178900829578,20.4233286289628,21.4295164802082,21.4977704914316,21.7317953622102,18.8996236851251,22.0988700741233,22.4635160812986
"",662.464275174771,73,20.5783541064141,20.9063103462459,22.3435383330625,20.797749495187,20.8491616389273,21.9383582665519,22.6209604869736,22.2990977187271,22.3214341182225,22.4179930171392,21.6696943942225,20.3886672678161,22.5798075620858,20.2134653842726,19.9666550468149,20.6401234597632,21.4344127242315,20.5880902539049,21.144255886253,21.1314049422186,21.98036055059,20.8021590238769,21.569604622979,20.8586599973057,20.1776173309027,20.1222590738453,20.4044367523329,21.1109485799234,20.7309459255746,21.6367129453903,20.4089211842862,22.2792106793454,20.8623711150679,21.6589267797546
"",668.830902654071,73,20.4489747999701,20.9119426646032,21.9932142787116,20.7916212480786,20.8457187385297,21.9455439955081,22.6268816710381,22.2978478004444,22.3136273093789,22.4207025264926,21.6773460970596,20.809400534829,22.8073770628764,20.4812146724563,20.4547708349663,21.0333206334535,21.4278814866988,21.0084705961997,21.1575574562345,21.1451932038057,21.977555082793,20.796039936374,21.5672145395437,20.9014980910443,20.5716174598938,20.5918007012057,20.4028055823706,21.117587366768,20.7528839385384,21.7105764885748,20.4016213462885,22.277417043362,20.873918739839,21.6541860496268
"",593.006459053081,73,18.241720131368,21.8887653416374,22.1030840835634,20.1957100188411,20.9518325208591,21.4173606752439,21.0077650217955,22.2093477640939,22.0966420047667,21.8897491512211,21.7543807294297,20.8644135308937,17.669603282719,21.8245427394172,21.3241133412649,21.3866463054681,20.6962417618833,22.0534173053423,20.6900634683509,21.2250888315476,21.2725046641138,15.1305666590854,21.2986882896878,15.8163217750476,21.9025199787944,21.4629376640827,21.3005999987143,20.8361021857664,21.2825168441619,20.9257852366354,20.9262947840314,21.2836163179388,15.2071494018397,20.1132326594355
